task_id,variant_1_label,variant_2_label,variant_3_label,variant_4_label,variant_5_label
77,function renaming; guard clause; early return; temporary variable; conditional expression; while loop; binary search; boundary case handling; behavior change,helper function extraction; guard clause; temporary variable; literal rewrite; behavior change; boundary case handling,helper function extraction;early return;boundary case handling;temporary variable;iterative root finding;loop rewrite;mathematical formula,helper function extraction; import reorganization; standard library helper; guard clause; boundary case handling; behavior change; temporary variable; literal rewrite; for loop; loop rewrite; floating point precision handling,helper function extraction; early return; variable renaming; builtin function; boundary case handling; loop rewrite; while loop; temporary variable; algorithmic refinement
78,helper function extraction; set conversion; loop rewrite; variable renaming; membership test,helper function extraction; guard clause; regex usage; loop rewrite; literal rewrite; input validation; behavior change,set conversion; generator expression; helper function extraction; loop rewrite; temporary variable; membership test; builtin function,set conversion;loop rewrite;recursion;recursion with base case;guard clause;empty input handling;conditional expression;membership test;helper function extraction,helper function extraction; literal rewrite; loop rewrite; standard library helper; frequency counting
79,helper function extraction; function renaming; early return; guard clause; boundary case handling; string formatting change; behavior change,helper function extraction; string formatting change; builtin function,helper function extraction; parameter renaming; temporary variable; early return; boundary case handling; conditional; in-place mutation; accumulator list; while loop; bitwise conversion; builtin function; join/split,recursion with base case; helper function extraction; temporary variable; boundary case handling; behavior change; builtin function; in-place mutation,helper function extraction; function renaming; parameter renaming; temporary variable; guard clause; boundary case handling; state variable; in-place mutation; builtin function; accumulator list; for loop; index-based
80,helper function extraction; temporary variable; tuple unpacking,helper function extraction; loop rewrite; generator expression; any/all usage; set conversion; slicing; early return,recursion with base case; helper function extraction; loop rewrite; set conversion; temporary variable; guard clause; combined condition,function renaming; loop rewrite; zip usage; tuple unpacking,sliding window; loop rewrite; set conversion; standard library helper; early return; helper function extraction; state variable; import reorganization
81,variable renaming; literal rewrite,function renaming; parameter renaming; variable renaming; guard clause; loop rewrite; flattened conditional; tuple unpacking; accumulator list; table-driven dispatch,variable renaming;helper function extraction;flattened conditional;guard clause;standard library helper;temporary variable;accumulator list;boundary case handling;data structure change,function renaming; helper function extraction; recursion with base case; loop rewrite; list comprehension; tuple unpacking; state variable; early return; guard clause; boundary case handling; default value handling; conditional,function renaming;helper function extraction;data structure change;tuple unpacking;guard clause;early return;generator expression;builtin function;default value handling;map/filter usage;list conversion;
82,variable renaming; helper function extraction; import reorganization; guard clause; combined condition; boundary case handling; standard library helper; mathematical formula; loop rewrite; for loop; early return; branch reordering,helper function extraction; variable renaming; combined condition,function renaming; variable renaming; guard clause; combined condition; helper function extraction; while loop; for loop; temporary variable; builtin function; miller-rabin primality; behavior change,function definition; variable renaming; guard clause; sieve of eratosthenes; accumulator list; in-place mutation; slicing; while loop; for loop,function renaming; variable renaming; helper function extraction; loop rewrite; recursion with base case; combined condition; mathematical formula
83,helper function extraction; guard clause; input validation,helper function extraction;guard clause;input validation;temporary variable;builtin function;mathematical formula,function renaming; guard clause; temporary variable; input validation; boundary case handling; mathematical formula,function definition;guard clause;early return;input validation;boundary case handling;loop rewrite;for loop;temporary variable;mathematical formula;algorithmic change,function renaming;guard clause;input validation;boundary case handling;mathematical formula;literal rewrite
84,helper function extraction; temporary variable; variable renaming; generator expression,helper function extraction;early return;boundary case handling;loop rewrite;while loop;temporary variable;state variable;tuple unpacking;builtin function;string formatting change,helper function extraction;recursion with base case;guard clause;while loop;accumulator list;temporary variable;bitwise operations;join/split usage;boundary case handling;type conversion;in-place,function renaming;loop rewrite;for loop;while loop;guard clause;accumulator list;temporary variable;join/split usage;manual binary conversion;builtin function;literal rewrite;type conversion;,variable renaming; temporary variable; list comprehension; helper function extraction
85,list comprehension; for loop; index-based loop; accumulator variable; helper function extraction,helper function extraction; enumerate loop; generator expression; combined condition; tuple unpacking,recursion with base case;helper function extraction;index-based loop;conditional expression;temporary variable;combined condition,helper function extraction; loop rewrite; slicing; generator expression,helper function extraction; loop rewrite; enumerate loop; functools reduce; lambda expression; import reorganization; conditional expression; combined condition
86,function renaming;variable renaming;generator expression;type conversion,helper function extraction;regex usage;lambda expression;import reorganization;builtin function;list comprehension;join/split usage,loop rewrite;for loop;nested conditional;accumulator list;temporary variable;in-place mutation;function renaming;boundary case handling;join/split usage,function renaming; import reorganization; itertools usage; lambda expression; for loop; accumulator list; temporary variable; flattened conditional; join/split usage; list conversion; sort key,introduce function;loop rewrite;accumulator list;temporary variable;sort key;empty input handling
87,helper function extraction; loop rewrite; enumerate loop; accumulator list; algorithmic change,helper function extraction; variable renaming; enumerate loop; tuple unpacking; list comprehension; in-place mutation; sort key; sorting-based approach,function renaming; helper function extraction; recursion; recursion with base case; early return; accumulator list; list comprehension; index-based loop; temporary variable; reversed condition; behavior change,loop rewrite; enumerate loop; helper function extraction; accumulator list; accumulator dict; dictionary lookup; standard library helper; sorting-based approach; import reorganization; temporary variable,helper function extraction; loop rewrite; enumerate loop; accumulator list; in-place mutation; list comprehension; builtin function; tuple unpacking; sorting-based approach; behavior change
88,helper function extraction; guard clause; early return; temporary variable; reversed condition; copy before mutation; empty input handling; boundary case handling; flattened conditional,helper function extraction;guard clause;copy before mutation;in-place mutation;variable renaming;temporary variable;boundary case handling,function renaming; guard clause; loop rewrite; for loop; index-based loop; nested conditional; brute force; temporary variable; state variable; tuple unpacking; in-place mutation; copy,guard clause; helper function extraction; recursion with base case; divide and conquer; list comprehension; slicing; temporary variable; empty input handling; boundary case handling; copy before mutation,helper function extraction; import reorganization; temporary variable; guard clause; slicing; standard library helper; heap-based
89,variable renaming;accumulator list;join/split usage;builtin function;literal rewrite;combined condition;mathematical formula;behavior change;boundary case handling,function renaming; variable renaming; loop rewrite; flattened conditional; slicing; standard library helper; behavior change,function extraction;import reorganization;standard library helper;in-place mutation;dict comprehension;dictionary lookup;generator expression;join/split usage;enumerate loop;behavior change,loop rewrite;recursion;guard clause;empty input handling;temporary variable;builtin function;membership test;behavior change;literal rewrite,helper function extraction;loop rewrite;regex usage;import reorganization;literal rewrite;behavior change;builtin function
90,helper function extraction; function renaming; guard clause; empty input handling; variable renaming; set conversion; reversed condition,function definition; early return; empty input handling; state variable; for loop; two pointer; algorithmic change; conditional expression,helper function extraction; guard clause; empty input handling; import reorganization; set conversion; temporary variable; standard library helper; heap-based; conditional expression,helper function extraction; guard clause; empty input handling; temporary variable; for loop; slicing; sorting-based approach; set conversion; behavior change,function definition; guard clause; empty input handling; try-except wrapper; builtin function; temporary variable; list comprehension; conditional expression; behavior change
91,helper function extraction;for loop;state variable;join/split usage;empty input handling;guard clause;behavior change;literal rewrite,loop rewrite;helper function extraction;accumulator list;in-place mutation;guard clause;join/split usage;membership test;boundary case handling;behavior change,helper function extraction;regex usage;import reorganization;temporary variable;boundary case handling,function definition;for loop;guard clause;temporary variable;state variable;regex usage;split usage;builtin function;empty input handling,function encapsulation; string formatting change; loop rewrite; guard clause; empty input handling; join/split usage; state variable; builtin function`
92,helper function extraction; type check; behavior change; guard clause; flattened conditional; combined condition,guard clause; early return; flattened conditional; helper function extraction; tuple unpacking; temporary variable; generator expression; any/all usage; type check; type conversion; behavior change,guard clause; helper function extraction; itertools usage; tuple unpacking; loop rewrite; import reorganization; type check; behavior change,helper function extraction; type check; behavior change; guard clause; input validation; combined condition; recursion with base case; state variable; parameter renaming; boundary case handling; builtin function,guard clause; helper function extraction; mathematical formula; type check; type conversion; input validation; list comprehension; generator expression; any/all usage; temporary variable
93,function renaming; temporary variable; literal rewrite; generator expression; conditional expression; dictionary lookup; default value handling,helper function extraction; set conversion; membership test; for loop; accumulator list; guard clause; temporary variable; behavior change,helper function extraction;set conversion;accumulator dict;for loop;loop rewrite;standard library helper;builtin function;behavior change;temporary variable;variable renaming;import reorganization,function renaming;import reorganization;set conversion;helper function extraction;regex usage;loop rewrite;membership test;temporary variable;behavior change,helper function extraction;recursion with base case;loop rewrite;set conversion;accumulator string;temporary variable;membership test;conditional expression;guard clause;behavior change;function renaming
94,function renaming;variable renaming;parameter renaming;early return;empty input handling;boundary case handling;loop rewrite;for loop;mathematical formula;algorithmic optimization;conditional expression,function renaming; variable renaming; early return; guard clause; input validation; empty input handling; boundary case handling; list comprehension; helper function extraction; standard library helper; import reorganization; conditional expression; for,function renaming;variable renaming;guard clause;empty input handling;list comprehension;accumulator list;loop rewrite;builtin function;combined condition;temporary variable;primality optimization;mathematical formula,function renaming; variable renaming; guard clause; input validation; empty input handling; loop rewrite; for loop; list comprehension; generator expression; slicing; import reorganization; standard library helper; sieve-based,function renaming; variable renaming; guard clause; early return; loop rewrite; for loop; accumulator list; list comprehension; generator expression; any/all usage; input validation; empty input handling; boundary
95,helper function extraction;guard clause;early return;flattened conditional;generator expression;any/all usage;list conversion;temporary variable;type check;empty input handling,guard clause; empty input handling; try-except wrapper; list comprehension; any/all usage; temporary variable; behavior change,helper function extraction; import reorganization; empty input handling; early return; guard clause; accumulator list; regex usage; generator expression; any/all usage; type check; flattened conditional,function renaming; guard clause; literal rewrite; accumulator set; temporary variable; loop rewrite; early return; nested conditional; flattened conditional; behavior change,helper function extraction;input validation;early return;guard clause;loop rewrite;temporary variable;accumulator list;any/all usage;variable renaming;nested conditional
96,function renaming; variable renaming; guard clause; loop rewrite; sieve of eratosthenes; slicing; in-place mutation; list comprehension; temporary variable; standard library helper; input validation;,function renaming; variable renaming; try-except wrapper; exception handling; type conversion; input validation; boundary case handling; guard clause; standard library helper; mathematical formula; loop rewrite; import reorganization,function renaming; variable renaming; early return; guard clause; try-except wrapper; type conversion; boundary case handling; import reorganization; standard library helper; temporary variable; mathematical formula; loop,function renaming;helper function extraction;memoization;loop rewrite;while loop;list comprehension;accumulator list;standard library helper;input validation;type conversion;error suppression;early return;guard clause;,sieve algorithm;input validation;exception handling;type conversion;boundary case handling;mathematical formula;function encapsulation;boolean array
97,helper function extraction;behavior change;mathematical formula,helper function extraction; type conversion; builtin function; slicing,helper function extraction; builtin function; temporary variable,helper function extraction; temporary variable; conditional expression; builtin function; behavior change,function definition; temporary variable; mathematical formula
98,function definition; set conversion; temporary variable; enumerate loop; combined condition,helper function extraction; set conversion; slicing; generator expression; builtin function; loop rewrite; temporary variable,recursion;helper function extraction;set conversion;membership test;conditional expression;function definition,helper function extraction;standard library helper;set conversion;temporary variable;loop rewrite;enumerate loop;tuple unpacking;conditional expression;combined condition;variable renaming,helper function extraction; variable renaming; standard library helper; regex usage; loop rewrite
99,standard library helper;type conversion;algorithmic;behavior change;flattened conditional,type conversion; builtin function; mathematical formula; behavior change; helper function extraction; conditional expression; slicing; loop rewrite,helper function extraction;import reorganization;type conversion;mathematical formula;floating point comparison;behavior change,helper function extraction;builtin function;standard library helper;type conversion;string manipulation;input validation;empty input handling;boundary case handling;behavior change;precision change;string formatting change;conditional,behavior change; helper function extraction; conditional expression; builtin function; mathematical formula; type conversion; floating point comparison
100,helper function extraction,function definition; loop rewrite; accumulator list; temporary variable; in-place mutation,recursion; helper function extraction; recursion with base case; list comprehension; function definition,helper function extraction; map/filter usage; lambda expression; list conversion,function definition; import reorganization; itertools usage; list conversion
101,helper function extraction; input validation; boundary case handling; builtin function; empty input handling; regex usage; standard library helper; list comprehension,builtin function; conditional expression; empty input handling; boundary case handling; string formatting change,function renaming; empty input handling; accumulator list; temporary variable; combined condition; builtin function; state variable; join/split usage; boundary case handling; behavior change,helper function extraction; input validation; behavior change; standard library helper; regex usage; literal rewrite,function renaming;join/split usage;nested loop;accumulator list;empty input handling;behavior change
102,builtin function; temporary variable; type conversion; helper function extraction; parameter renaming; branch reordering; guard clause; behavior change,helper function extraction; builtin function; loop rewrite; guard clause; mathematical formula; variable renaming,helper function extraction; parameter renaming; builtin function; conditional expression; guard clause; type conversion; mathematical formula; branch reordering,helper function extraction; builtin function; type conversion; list comprehension; generator expression; any/all usage; mathematical formula; guard clause; behavior change,helper function extraction; recursion; builtin function; variable renaming; mathematical formula; guard clause
103,helper function extraction; loop rewrite; for loop; while loop; variable renaming; temporary variable; frequency counting; mathematical formula; type conversion,reversed condition; mathematical formula; loop rewrite; temporary variable,helper function extraction; parameter renaming; mathematical formula; builtin function; conditional expression; temporary variable,helper function extraction; function renaming; parameter renaming; early return; mathematical formula; loop rewrite; standard library helper; import reorganization; type conversion,function definition;reversed condition;mathematical formula;standard library helper;precision handling
104,helper function extraction; function renaming; variable renaming; set conversion; constant renaming; temporary variable; membership test; algorithmic change,helper function extraction; list comprehension; while loop; early return; behavior change; type conversion; builtin function; mathematical formula,list comprehension; regex usage; import reorganization; constant renaming,helper function extraction; map/filter usage; loop rewrite; builtin function; literal rewrite; function renaming,function renaming; variable renaming; helper function extraction; recursion; base case; early return; guard clause; mathematical formula; builtin function; in-place mutation
105,function definition; variable renaming; list conversion; list comprehension; exception handling; combined condition; mathematical formula; empty input handling,variable renaming;list conversion;in-place mutation;membership test,function definition; frequency counting; input validation; type check; list indexing; accumulator list; error suppression; sorting-based approach; list conversion,function definition;dictionary to list conversion;loop rewrite;recursion;helper function extraction;type check;boundary case handling;list concatenation,variable renaming;map/filter usage;lambda expression;loop rewrite;list conversion;input validation;behavior change
106,function extraction; variable renaming; input validation; guard clause; prefix/suffix computation; mathematical formula; builtin function,list comprehension; conditional expression; builtin function; mathematical formula; helper function extraction; empty input handling; boundary case handling,function extraction;helper function extraction;recursion;conditional expression;mathematical formula;prefix/suffix computation;state variable;accumulator list;empty input handling;boundary case handling,empty input handling;boundary case handling;itertools usage;standard library helper;mathematical formula;list comprehension;conditional expression;prefix/suffix computation;list conversion,input validation; empty input handling; boundary case handling; list comprehension; mathematical formula; loop rewrite; temporary variable; in-place mutation; branch reordering; combined condition; builtin function
107,function renaming; variable renaming; helper function inlining; temporary variable; nested conditional; branch reordering,function renaming; variable renaming; helper function extraction; mathematical formula; nested conditional; temporary variable,brute force; mathematical formula; set conversion; generator expression; early return; temporary variable; loop rewrite; string formatting change; slicing; builtin function,helper function inlining; loop rewrite; generator expression; builtin function; temporary variable; assignment expression; combined condition,helper function inlining; lambda expression; map/filter usage; list conversion; builtin function; accumulator list; mathematical formula; conditional expression; loop rewrite
108,helper function extraction; list comprehension; lambda expression; map/filter usage; for loop; accumulator variable; string formatting change; slicing; mathematical formula; conditional expression; early return; guard clause; empty,function renaming;helper function extraction;list comprehension;lambda expression;filter usage;list conversion;builtin function;while loop;accumulator variable;temporary variable;abs usage;for loop;conditional expression;algorithmic,function renaming; helper function extraction; recursion; generator expression; empty input handling; mathematical formula; accumulator variable; for loop; behavior change,function renaming; helper function extraction; generator expression; iterator usage; string manipulation; branch reordering; try-except wrapper; early return; empty input handling; conditional expression; builtin function; temporary variable,function renaming; standard library helper; mathematical formula; loop rewrite; accumulator variable; generator expression; early return; temporary variable; builtin function
