task_id,base_code_label,variant_1_label,variant_1_probability,variant_2_label,variant_2_probability,variant_3_label,variant_3_probability,variant_4_label,variant_4_probability,variant_5_label,variant_5_probability
54,original,helper function extraction;loop rewrite;queue-based;stack-based;dictionary lookup;index-based loop;standard library helper;guard clause;input validation;behavior change,0.28,helper function extraction;heap-based;guard clause;while loop;tuple unpacking;generator expression;dictionary lookup;variable renaming;import reorganization;behavior change,0.22,helper function extraction;guard clause;type check;loop rewrite;temporary variable;brute force;boundary case handling;behavior change,0.18,helper function extraction;guard clause;input validation;empty input handling;accumulator list;dictionary lookup;stack-based;graph traversal;loop rewrite;tuple unpacking;behavior change;import reorganization,0.2,helper function extraction; early return; guard clause; loop rewrite; while loop; queue-based; graph traversal; accumulator dict; dictionary lookup; tuple unpacking; temporary variable; import reorganization; standard library helper; input validation; behavior change,0.12
55,original,variable renaming;loop rewrite;accumulator list;join/split usage;enumerate loop;early return;input validation;default value handling;manacher algorithm;split condition;in-place mutation;slicing,0.35,variable renaming; split condition; helper function extraction; memoization; standard library helper; join/split usage; empty input handling; default value handling,0.25,helper function extraction; loop rewrite; manacher algorithm; accumulator list; in-place mutation; join/split usage; lambda expression; empty input handling; default value handling; guard clause,0.15,variable renaming; default value handling; guard clause; loop rewrite; helper function extraction; split condition; two pointer; slicing; recursion,0.15,variable renaming;loop rewrite;guard clause;accumulator list;join/split usage;manacher algorithm;empty input handling;default value handling,0.1
56,original,helper function extraction;variable renaming;tuple unpacking;temporary variable;conditional expression;flattened conditional;state variable;type conversion;behavior change,0.3,helper function extraction;list comprehension;temporary variable;generator expression;conditional expression;zip usage;builtin function;behavior change,0.25,standard library helper; list comprehension; frequency counting; helper function extraction; tuple unpacking; dictionary lookup; conditional expression; zip usage; type conversion; behavior change,0.2,set comprehension; enumerate loop; helper function extraction; conditional expression; list conversion; zip usage; temporary variable; behavior change,0.15,variable renaming; helper function extraction; guard clause; conditional expression; tuple unpacking; temporary variable; type conversion; behavior change,0.1
57,original,helper function extraction; flattened conditional; enumerate loop; accumulator list; list conversion; any/all usage; generator expression; exception handling; input validation; empty input handling; type conversion; error suppression,0.28,variable renaming;helper function extraction;guard clause;flattened conditional;accumulator list;input validation;default value handling;behavior change;loop rewrite;numpy vectorization,0.22,flattened conditional; guard clause; enumerate loop; itertools usage; generator expression; list conversion; accumulator list; prefix/suffix computation; try-except wrapper; error suppression; type conversion; behavior change,0.2,helper function extraction; flattened conditional; variable renaming; list conversion; enumerate loop; generator expression; accumulator list; exception handling; input validation; empty input handling; type conversion; behavior change,0.18,helper function extraction; flattened conditional; try-except wrapper; error suppression; default value handling; enumerate loop; loop rewrite; accumulator list; variable renaming; list conversion; type conversion; guard clause,0.12
58,original,guard clause; loop rewrite; queue-based; frequency counting; list comprehension; set conversion; tuple unpacking; standard library helper; membership test; input validation; boundary case handling,0.32,variable renaming; import reorganization; accumulator set; guard clause; helper function extraction; recursion with base case; temporary variable; boundary case handling; standard library helper,0.22,variable renaming;set conversion;tuple unpacking;loop rewrite;stack-based;early return;guard clause;input validation;boundary case handling;behavior change;import reorganization,0.18,variable renaming;list comprehension;set conversion;tuple unpacking;standard library helper;brute force;queue-based;accumulator set;guard clause;input validation;behavior change,0.15,set conversion; list comprehension; tuple unpacking; loop rewrite; guard clause; queue-based; temporary variable; boundary case handling; standard library helper; behavior change,0.13
59,original,variable renaming; string formatting change; early return; guard clause; loop rewrite; temporary variable; tuple unpacking; in-place mutation; input validation; boundary case handling; type conversion,0.3,variable renaming; guard clause; early return; loop rewrite; dictionary lookup; membership test; list comprehension; tuple unpacking; in-place mutation; temporary variable; input validation; boundary case handling; type conversion,0.25,helper class extraction;type conversion;temporary variable;tuple unpacking;list comprehension;input validation;sentinel flag;flattened conditional;guard clause,0.2,variable renaming; import reorganization; guard clause; early return; loop rewrite; tuple unpacking; dictionary lookup; standard library helper; binary search; input validation; boundary case handling; type conversion; type check; temporary variable; membership test,0.15,variable renaming;loop rewrite;generator expression;guard clause;try-except wrapper;input validation;type conversion;list comprehension;in-place mutation;temporary variable;any/all usage;flattened conditional,0.1
60,original,variable renaming; state variable; literal rewrite; try-except wrapper; error suppression; formatting only; behavior change,0.35,temporary variable; accumulator list; dict comprehension; try-except wrapper; error suppression; standard library helper; input validation; literal rewrite; behavior change,0.25,state variable; temporary variable; string formatting change; literal rewrite; behavior change,0.18,helper function extraction; try-except wrapper; state variable; temporary variable; literal rewrite; import reorganization; thread-safety; behavior change; error suppression,0.12,guard clause; exception handling; state variable; temporary variable; standard library helper; literal rewrite; input validation; error suppression; behavior change,0.1
61,original,import reorganization;guard clause;try-except wrapper;input validation;type check;boundary case handling;behavior change;temporary variable;in-place mutation;membership test;default value handling,0.28,import reorganization; deque conversion; guard clause; while loop; flattened conditional; circular traversal; try-except wrapper; type conversion; list conversion; state preservation; formatting only,0.2,import reorganization; helper function extraction; state variable; guard clause; try-except wrapper; type conversion; boundary case handling; temporary variable; error suppression,0.18,import reorganization;standard library helper;guard clause;accumulator list;copy before mutation;temporary variable;membership test;type conversion;try-except wrapper;input validation;default value handling;behavior change,0.22,import reorganization; list conversion; copy before mutation; temporary variable; guard clause; exception handling; empty input handling; type conversion; default value handling,0.12
62,original,variable renaming; guard clause; empty input handling; set conversion; accumulator list; standard library helper; case normalization; punctuation stripping; formatting only,0.28,variable renaming;guard clause;empty input handling;set conversion;generator expression;regex usage;membership test;accumulator list;temporary variable;import reorganization,0.22,variable renaming; import reorganization; guard clause; type check; set conversion; generator expression; accumulator list; standard library helper,0.2,guard clause; empty input handling; set conversion; membership test; regex usage; generator expression; accumulator list; temporary variable; copy before mutation; string formatting change; behavior change,0.18,variable renaming; early return; while loop; set conversion; set comprehension; accumulator list; copy before mutation; membership test; empty input handling; temporary variable,0.12
63,original,import reorganization;constant renaming;literal rewrite;variable renaming;accumulator list;accumulator dict;state variable;membership test;sort key;dict comprehension;early return;empty input handling,0.3,variable renaming;import reorganization;regex usage;list comprehension;dict comprehension;standard library helper;accumulator list,0.25,import reorganization;list comprehension;regex usage;itertools usage;accumulator dict;dict comprehension;sort key;slicing;guard clause;frequency counting;empty input handling;variable renaming;loop rewrite,0.2,variable renaming; loop rewrite; accumulator list; list comprehension; generator expression; sort key; frequency counting; early return; empty input handling; builtin function; order-preserving tie-break,0.15,variable renaming; import reorganization; guard clause; list comprehension; standard library helper; literal rewrite,0.1
