task_id,variant_1_label,variant_2_label,variant_3_label,variant_4_label,variant_5_label
1,helper function extraction; import reorganization; type check; type conversion; input validation; guard clause; empty input handling; boundary case handling; default value handling; behavior change; mathematical formula; temporary variable; slicing,helper function extraction; import reorganization; guard clause; input validation; type conversion; boundary case handling; temporary variable; mathematical formula,function renaming; import reorganization; guard clause; early return; nested conditional; for loop; accumulator list; temporary variable; brute force; input validation; type conversion; boundary case handling; default value handling,input validation; type conversion; boundary case handling; guard clause; exception handling; min-max normalization; linear interpolation; import reorganization; temporary variable,helper function extraction; guard clause; input validation; type conversion; boundary case handling; min-max normalization; index to one-hot; matrix-based palette lookup; device awareness
2,function renaming; import reorganization; type conversion; temporary variable; guard clause; exception handling; any/all usage; boundary case handling; behavior change,import reorganization; helper function extraction; type conversion; state variable; temporary variable; in-place mutation; split condition; any/all usage; exception handling; input validation; boundary case handling; behavior change; standard library helper,function renaming; import reorganization; split condition; temporary variable; in-place mutation; mathematical formula; input validation; boundary case handling; error suppression; type conversion; behavior change,function renaming; import reorganization; try-except wrapper; temporary variable; type conversion; any/all usage; input validation; boundary case handling; behavior change,function renaming; import reorganization; type conversion; input validation; boundary case handling; split condition; for loop; integer-order recurrence; tuple unpacking; temporary variable; slicing; in-place mutation; any/all usage
3,helper function extraction;guard clause;type conversion;default value handling;import reorganization;boundary case handling,helper function extraction; import reorganization; guard clause; combined condition; temporary variable; vectorized computation; input validation; type conversion,helper function extraction; function renaming; import reorganization; standard library helper; guard clause; input validation; default value handling; type conversion,function renaming; import reorganization; newton raphson; for loop; early return; input validation; boundary case handling; type conversion; default value handling; temporary variable; builtin function; error suppression,helper function extraction; import reorganization; array conversion; numpy usage; temporary variable; combined condition; input validation; type conversion; default value handling; behavior change
4,guard clause; combined condition; type check; input validation; type conversion; slicing; temporary variable; helper function inlining; standard library helper; import reorganization,function renaming; helper function extraction; guard clause; exception handling; import reorganization; temporary variable; slicing; in-place mutation; mathematical formula; input validation; type conversion; boundary case handling,function renaming; import reorganization; guard clause; exception handling; input validation; type conversion; slicing; in-place mutation; helper function inlining; svd polar decomposition,function renaming; import reorganization; guard clause; helper function inlining; slicing; temporary variable; input validation; type conversion; boundary case handling; type check; string formatting change,function renaming; import reorganization; guard clause; combined condition; exception handling; slicing; tuple unpacking; temporary variable; in-place mutation; standard library helper; input validation; type conversion; boundary case handling
5,helper function extraction;try-except wrapper;input validation;type conversion;default value handling;temporary variable;string formatting change;f-string;guard clause;early return,helper function extraction;try-except wrapper;input validation;type conversion;builtin function;tuple unpacking;temporary variable;string formatting change;join/split usage,helper function extraction;try-except wrapper;loop rewrite;while loop;variable renaming;string formatting change;input validation;type conversion;error suppression,helper function extraction; try-except wrapper; type conversion; input validation; standard library helper; import reorganization; early return; variable renaming,helper function extraction;variable renaming;temporary variable;try-except wrapper;early return;type conversion;input validation;behavior change;standard library helper;string formatting change;import reorganization
6,helper function extraction;guard clause;input validation;type check;boundary case handling;temporary variable;literal rewrite;string formatting change;behavior change,helper function extraction;input validation;type check;boundary case handling;standard library helper;string formatting change;literal rewrite;temporary variable,helper function extraction;guard clause;early return;input validation;type check;boundary case handling;standard library helper;temporary variable;fixed-point conversion;string formatting change,helper function extraction; input validation; type check; boundary case handling; guard clause; nested conditional; temporary variable; in-place mutation; standard library helper; import reorganization; string formatting change; f-string; behavior change,helper function extraction;guard clause;exception handling;input validation;boundary case handling;variable renaming;temporary variable;state variable;in-place mutation;combined condition;nested conditional;f-string
7,helper function extraction; guard clause; try-except wrapper; split condition; import reorganization; type check; empty input handling; f-string; behavior change,function renaming; import reorganization; guard clause; input validation; boundary case handling; for loop; temporary variable; join/split usage; exception handling; behavior change; string formatting change,helper function extraction; import reorganization; functools reduce; for loop; guard clause; try-except wrapper; input validation; empty input handling; f-string; behavior change; temporary variable,helper function extraction; import reorganization; guard clause; input validation; while loop; for loop; early return; exception handling; slicing; join/split usage; brute force; string formatting change; boundary case handling,function renaming; import reorganization; guard clause; for loop; exception handling; slicing; builtin function; brute force; input validation; behavior change
8,helper function extraction; guard clause; input validation; type conversion; temporary variable; import reorganization,helper function extraction;import reorganization;boundary case handling;behavior change;temporary variable;copy before mutation;method renaming;type conversion,helper function extraction;guard clause;temporary variable;type conversion;boundary case handling;import reorganization;function renaming,helper function extraction; import reorganization; loop rewrite; for loop; in-place mutation; temporary variable; tuple unpacking; type conversion; boundary case handling,function renaming; variable renaming; helper function extraction; import reorganization; guard clause; temporary variable; copy before mutation; type conversion; input validation; behavior change
9,helper function extraction; regex usage; conditional expression; import reorganization; behavior change,helper function extraction;guard clause;split condition;type check;input validation;boundary case handling;standard library helper;generator expression;any/all usage;membership test;slicing;behavior change,guard clause; helper function extraction; split condition; temporary variable; try-except wrapper; input validation; type conversion; boundary case handling; literal rewrite,guard clause; split condition; helper function extraction; try-except wrapper; type check; builtin function; temporary variable; string formatting change; literal rewrite,guard clause; split condition; helper function extraction; input validation; type check; membership test; behavior change
10,variable renaming; temporary variable; in-place mutation; guard clause; type conversion; input validation; import reorganization; builtin function; behavior change,variable renaming; import reorganization; helper function extraction; guard clause; type conversion; input validation; boundary case handling; temporary variable; mathematical formula,function renaming; variable renaming; guard clause; input validation; type conversion; slicing; temporary variable; helper function extraction; mathematical formula,function renaming; variable renaming; import reorganization; guard clause; input validation; type conversion; boundary case handling; in-place mutation; temporary variable; behavior change,helper function extraction;loop rewrite;for loop;accumulator list;functools reduce;type conversion;input validation;variable renaming;function renaming;import reorganization;brute force;temporary variable
