task_id,variant_1_label,variant_2_label,variant_3_label,variant_4_label,variant_5_label
0,state variable;constant renaming;builtin function;early return;guard clause;flattened conditional;behavior change;standard library helper;exception handling;try-except wrapper;f-string;string formatting,state variable;literal rewrite;temporary variable;guard clause;reversed condition;behavior change;exception handling;branch reordering;any/all usage;generator expression;loop rewrite;builtin function;,state variable; builtin function; literal rewrite; temporary variable; guard clause; reversed condition; flattened conditional; behavior change; variable renaming; exception handling; dictionary lookup; join/split usage; slicing,state variable; standard library helper; import reorganization; reversed condition; early return; flattened conditional; behavior change; regex usage; join/split usage; string formatting change; temporary variable; exception handling,state variable;builtin function;constant renaming;early return;flattened conditional;behavior change;temporary variable;dictionary lookup;guard clause;generator expression;any/all usage;loop rewrite
1,mathematical formula,formatting only; method reuse; mathematical formula,formatting only; helper function extraction; temporary variable,formatting only; mathematical formula; literal rewrite,builtin function; mathematical formula
2,behavior change; loop rewrite; string formatting change; state variable; builtin function; branch reordering; type conversion,standard library helper; algorithmic change; behavior change; set comprehension; any/all usage; branch reordering; explicit type handling; error handling change; behavior change,builtin function;standard library helper;regex usage;state variable;membership test;branch reordering;type conversion;literal rewrite;early return;default value handling,behavior change; loop rewrite; while loop; string formatting change; set conversion; branch reordering; type conversion; nested conditional; guard clause; literal rewrite,behavior change;loop rewrite;state variable;branch reordering;nested conditional;type check;exception handling;literal rewrite
3,import reorganization; standard library helper; flattened conditional; generator expression; builtin function; helper function inlining; list conversion; list comprehension,guard clause; builtin function; generator expression; helper function inlining; list conversion; list comprehension; loop rewrite,early return;helper function inlining;list conversion;variable renaming;recursion;recursion with base case,early return; generator expression; builtin function; helper function inlining; list comprehension; variable renaming; loop rewrite,guard clause;helper function inlining;list comprehension;variable renaming;recursion with base case`
4,early return; list comprehension; any/all usage; generator expression; accumulator list; dict comprehension; sort key; builtin function,builtin function; temporary variable; flattened conditional; early return; list comprehension; any/all usage; generator expression; accumulator list; sort key; dictionary lookup,dictionary lookup; temporary variable; loop rewrite; accumulator variable; flattened conditional; early return; list comprehension; any/all usage; generator expression; behavior change,builtin function;flattened conditional;list conversion;accumulator set;accumulator list;formatting only,builtin function; helper function extraction; early return; list conversion; list comprehension; any/all usage; generator expression; accumulator list`
5,variable renaming;helper function extraction;builtin function;f-string;behavior change;empty input handling,helper function extraction; variable renaming; enumerate loop; builtin function; f-string; flattened conditional; empty input handling,variable renaming;builtin function;regex usage;standard library helper;tuple unpacking;f-string;behavior change;empty input handling,variable renaming; builtin function; accumulator string; loop rewrite; string formatting change; empty input handling,variable renaming; builtin function; loop rewrite; algorithmic; string formatting change; accumulator string; empty input handling
6,input validation;builtin function;conditional expression,input validation; exception handling; state variable; builtin function; conditional expression; mathematical formula,input validation; exception handling; builtin function; accumulator list; for loop; conditional expression; behavior change,input validation;builtin function;generator expression;conditional expression;slicing,input validation; exception handling; builtin function; list comprehension; algorithmic change; different partitioning strategy
7,variable renaming;combined condition;dictionary lookup;guard clause;early return;behavior change;formatting only,variable renaming; combined condition; helper function extraction; guard clause; early return; builtin function; membership test; formatting only; behavior change,formatting only; combined condition; helper function extraction; early return; guard clause; membership test; variable renaming; conditional expression; behavior change,formatting only; combined condition; behavior change; dictionary lookup; try-except wrapper; early return; variable renaming,variable renaming; membership test; combined condition; dictionary lookup; flattened conditional; guard clause; empty input handling; behavior change; formatting only
8,docstring addition,literal rewrite;helper function extraction,string formatting change;helper function extraction;builtin function,string formatting change;helper function extraction;combined condition;builtin function,string formatting change;helper function extraction
9,builtin function; mathematical formula; algorithmic simplification,variable renaming; accumulator string; string concatenation; behavior change; mathematical formula; loop rewrite; builtin function,type conversion; builtin function; algorithmic change; mathematical formula; for loop; temporary variable; in-place mutation; index-based loop,standard library helper,variable renaming;accumulator list;in-place mutation;builtin function;join/split usage;string formatting change;temporary variable;flattened conditional;branch reordering;membership test
10,temporary variable; builtin function; accumulator string; behavior change; code reuse,list comprehension;lambda expression;temporary variable;accumulator string;builtin function;helper function extraction;behavior change,regex usage;import reorganization;temporary variable;variable renaming;accumulator string;accumulator list;builtin function;helper function inlining,temporary variable; mathematical formula; list comprehension; builtin function; standard library helper; loop rewrite; helper function extraction; behavior change,list comprehension;lambda expression;temporary variable;variable renaming;accumulator string;accumulator list;builtin function;behavior change
11,behavior change;combined condition;type check;string formatting change;flattened conditional,helper function extraction; input validation; behavior change; string formatting change; type check; combined condition; literal rewrite; conditional expression; bitwise operation change,parameter change;combined condition;flattened conditional;type check;behavior change;mathematical formula;builtin function,helper function inlining; combined condition; behavior change; builtin function; mathematical formula,function renaming; parameter renaming; type check; combined condition; behavior change; builtin function; mathematical formula
12,list comprehension;dictionary lookup;builtin function;slicing;flattened conditional;branch reordering;behavior change,list comprehension;literal rewrite;dictionary lookup;variable renaming;slicing;flattened conditional;behavior change,list comprehension; literal rewrite; dictionary lookup; variable renaming; slicing; flattened conditional; branch reordering,list comprehension; dictionary lookup; builtin function; flattened conditional; branch reordering,list comprehension; dictionary lookup; variable renaming; flattened conditional; behavior change; early return; branch reordering; mathematical formula
13,exception handling; behavior change; nested conditional; split condition; sorting-based approach; copy before mutation; builtin function; flattened conditional; default value handling,builtin function; flattened conditional; exception handling; behavior change; string formatting change; nested conditional; branch reordering; sorting-based approach; copy before mutation,sorting-based approach;exception handling;behavior change;nested conditional;split condition;builtin function;flattened conditional`,builtin function;flattened conditional;exception handling;behavior change;nested conditional;split condition;string formatting change;sorting-based approach,input validation;exception handling;type check;boundary case handling;behavior change;nested conditional;branch reordering;builtin function;dictionary lookup;sorting-based approach;default value handling
14,string formatting change;variable renaming;temporary variable;behavior change,variable renaming;behavior change;default value handling;combined condition;formatting only,variable renaming;formatting only;behavior change;input validation;exception handling;database schema change,variable renaming; algorithmic; behavior change; combined condition; formatting only,standard library helper;helper function extraction;try-except wrapper;exception handling;variable renaming;behavior change;combined condition;formatting only
15,documentation addition;variable renaming;loop rewrite;behavior change;algorithmic change,helper function extraction;state variable;accumulator dict;loop rewrite;dictionary lookup;builtin function;behavior change;mathematical formula;early return;guard clause;docstring addition,string formatting change; builtin function; exception handling; loop rewrite; behavior change; algorithmic,documentation addition;loop rewrite;behavior change;algorithmic change;literal rewrite;temporary variable,state variable; helper function extraction; builtin function; dictionary lookup; algorithmic change; loop rewrite; behavior change; while loop; mathematical formula; max/min usage; formatting only
16,documentation addition; loop rewrite; index-based loop; slicing; type conversion; behavior change; membership test; feature removal; conditional expression; branch reordering,nested conditional; loop rewrite; helper function extraction; redundant code removal; type conversion; behavior change; variable renaming; literal rewrite,regex usage; behavior change; type conversion; temporary variable; import reorganization; nested conditional; flattened conditional; documentation addition,string formatting change;helper function extraction;in-place mutation;temporary variable;loop rewrite;slicing;membership test;behavior change;feature removal;literal rewrite,documentation addition;builtin function;regex usage;string parsing change;behavior change;type conversion;variable renaming;redundant code removal;literal rewrite
17,list comprehension; in-place mutation; behavior change; branch reordering; sorting-based approach; lambda expression; helper function extraction; temporary variable; list conversion; slicing; early return;,in-place mutation; sort key; lambda expression; list comprehension; loop rewrite; accumulator list; behavior change; branch reordering; early return; guard clause; temporary variable; slicing; default,list comprehension; behavior change; literal rewrite; algorithmic; sorting-based approach; lambda expression; helper function extraction; loop rewrite; temporary variable; slicing; builtin function,sort key; lambda expression; list comprehension; in-place mutation; behavior change; helper function extraction; empty input handling; boundary case handling; temporary variable; sort key; lambda expression; for loop,list comprehension; behavior change; literal rewrite; algorithmic change; sorting-based approach; lambda expression; helper function extraction; loop rewrite; state variable; boundary case handling; slicing; temporary variable; builtin
18,behavior change;helper function inlining;variable renaming,behavior change; helper function inlining; method signature change; variable renaming; builtin function,generator expression; enumerate loop; conditional expression; join/split usage; helper function inlining; behavior change; robustness issue**,behavior change; type check; regex usage; lambda expression; standard library helper,algorithmic change;accumulator string;temporary variable;behavior change;helper function inlining
19,string formatting change; literal rewrite; slicing; for loop; loop rewrite; builtin function; list comprehension; enumerate loop; variable renaming; parameter renaming; class renaming; method renaming; function renaming; string,flattened conditional; slicing; in-place mutation; for loop; variable renaming; list comprehension; enumerate loop,formatting only;flattened conditional;slicing;loop rewrite;for loop;variable renaming;list comprehension;enumerate loop;in-place mutation;builtin function</code>,variable renaming;loop rewrite;data structure change;accumulator dict;list comprehension;dictionary lookup;formatting only,literal rewrite; slicing; loop rewrite; mathematical formula; variable renaming; list comprehension; generator expression; behavior change; flattened conditional
20,reversed condition; flattened conditional; early return; combined condition; temporary variable; behavior change; builtin function,early return; data structure change; reversed condition; flattened conditional; temporary variable; behavior change; builtin function; dictionary lookup; default value handling,early return; reversed condition; early return; reversed condition; combined condition; flattened conditional; behavior change; temporary variable; literal rewrite; string formatting change; builtin function; default value handling; list,standard library helper; behavior change; flattened conditional; early return; membership test; dictionary lookup; literal rewrite,early return; reversed condition; temporary variable; behavior change; literal rewrite; builtin function; sort key; lambda expression; dictionary lookup
21,temporary variable;conditional expression;behavior change;early return;sentinel flag;combined condition,temporary variable;behavior change;early return;combined condition;conditional expression,list comprehension;list conversion;sorting-based approach;loop rewrite;combined condition;early return;sentinel flag;flattened conditional;mathematical formula,temporary variable; behavior change; list comprehension; conditional expression; early return,temporary variable;early return;behavior change;conditional expression;flattened conditional
22,early return; guard clause; behavior change; default value handling; flattened conditional; list comprehension; set conversion; list conversion; dict comprehension; frequency counting; empty input handling,reversed condition; early return; behavior change; default value handling; flattened conditional; list comprehension; temporary variable; set conversion; accumulator set; builtin function; standard library helper; import reorganization; empty input,early return; guard clause; behavior change; default value handling; flattened conditional; list comprehension; loop rewrite; builtin function; list conversion; dict comprehension; lambda expression; empty input handling,guard clause; behavior change; default value handling; dictionary lookup; in-place mutation; flattened conditional; list comprehension; variable renaming; standard library helper; dict comprehension; frequency counting; early return;,early return; behavior change; default value handling; flattened conditional; list comprehension; set conversion; list conversion; accumulator dict; dictionary lookup; empty input handling
23,builtin function;early return;behavior change;loop rewrite;accumulator variable;mathematical formula;type conversion;boundary case handling;literal rewrite;slicing;parameter renaming;variable renaming;,import reorganization; builtin function; behavior change; mathematical formula; generator expression; standard library helper; list comprehension; helper function inlining; recursion removal; loop rewrite; slicing removal; temporary variable,flattened conditional; builtin function; behavior change; loop rewrite; standard library helper; helper function extraction; recursion with base case; accumulator list; temporary variable; list comprehension; variable renaming; parameter renaming;,standard library helper; mathematical formula; generator expression; builtin function; recursion with base case; helper function extraction; accumulator list; slicing; list concatenation; copy before mutation; behavior change; input validation; boundary,builtin function; guard clause; mathematical formula; loop rewrite; behavior change; helper function extraction; recursion; slicing; accumulator list; temporary variable; early return; list comprehension
24,builtin function;temporary variable;exception handling;input validation;boundary case handling;string formatting change,string formatting change;temporary variable;input validation;exception handling;guard clause;variable renaming,string formatting change;temporary variable;builtin function;input validation;exception handling,import reorganization; standard library helper; builtin function; mathematical formula; early return; exception handling; behavior change,string formatting change;temporary variable;input validation;exception handling
25,parameter renaming; default value handling; variable renaming; state variable; exception handling; behavior change,state variable; default value handling; parameter renaming; builtin function; robustness; variable renaming; exception handling; behavior change,parameter renaming;default value handling;variable renaming;behavior change;error suppression;in-place mutation,parameter renaming;default value handling;behavior change;variable renaming;exception handling;state variable;method removal`,parameter renaming; variable renaming; default value handling; builtin function; exception handling; behavior change
