task_id,base_code_label,variant_1_label,variant_1_probability,variant_2_label,variant_2_probability,variant_3_label,variant_3_probability,variant_4_label,variant_4_probability,variant_5_label,variant_5_probability
46,original,standard library helper; binary search; guard clause; flattened conditional; loop rewrite; tuple unpacking; temporary variable; boundary case handling; combined condition,0.28,loop rewrite;flattened conditional;guard clause;numpy usage;binary search;type conversion;boundary case handling,0.22,helper function extraction;guard clause;loop rewrite;boundary case handling;temporary variable;tuple unpacking;combined condition;variable renaming,0.18,variable renaming;helper function extraction;loop rewrite;while loop;index-based loop;accumulator list;tuple unpacking;guard clause;boundary case handling;temporary variable,0.18,variable renaming;accumulator list;tuple unpacking;temporary variable;loop rewrite;index-based loop;guard clause;flattened conditional;boundary case handling;default value handling,0.14
47,original,variable renaming;guard clause;conditional expression;try-except wrapper;generator expression;accumulator list;empty input handling;type conversion,0.3,regex usage;guard clause;conditional expression;generator expression;loop rewrite;string formatting change;state variable;input validation;boundary case handling,0.22,standard library helper; try-except wrapper; guard clause; generator expression; input validation,0.18,standard library helper; any/all usage; generator expression; conditional expression; guard clause; temporary variable,0.16,variable renaming;map/filter usage;try-except wrapper;any/all usage;generator expression;conditional expression;guard clause;string formatting change;input validation;type conversion;list conversion;loop rewrite;temporary variable,0.14
48,original,import reorganization; standard library helper; exception handling; type check; temporary variable,0.28,regex usage; state variable; guard clause; type check; exception handling; error suppression; import reorganization,0.2,guard clause;for loop;exception handling;temporary variable;split usage;standard library helper;type check;input validation;boundary case handling;type conversion,0.18,standard library helper;exception handling;input validation;error suppression,0.18,variable renaming;import reorganization;standard library helper;try-except wrapper;error suppression;boundary case handling;type check,0.16
49,original,dict-to-dataclass; standard library helper; import reorganization; list conversion; copy before mutation; set comprehension; temporary variable; flattened conditional; membership test; default value handling; behavior change,0.25,variable renaming;list conversion;copy before mutation;guard clause;early return;split condition;loop rewrite;list comprehension;generator expression;set conversion;temporary variable;membership test;boundary case handling,0.22,parameter renaming; accumulator dict; state variable; itertools usage; dictionary lookup; list conversion; set conversion; any/all usage; generator expression; split condition; guard clause; boundary case handling; behavior change,0.18,list comprehension;generator expression;any/all usage;set comprehension;set conversion;list conversion;temporary variable;guard clause;input validation;behavior change;loop rewrite,0.2,regex usage;try-except wrapper;error suppression;list conversion;copy before mutation;set comprehension;generator expression;any/all usage;sort key;list comprehension;frequency counting;sorting-based approach;behavior change,0.15
50,original,import reorganization; standard library helper; exception handling; combined condition; type check; conditional expression; temporary variable; string formatting change; boundary case handling,0.28,import reorganization;exception handling;try-except wrapper;error suppression;standard library helper;temporary variable;in-place mutation;combined condition;conditional expression;type check;default value handling,0.22,import reorganization;exception handling;combined condition;conditional expression;type check;in-place mutation;variable renaming;standard library helper;boundary case handling;string formatting change;helper function extraction,0.2,import reorganization; variable renaming; temporary variable; try-except wrapper; type check; combined condition; error suppression,0.18,import reorganization; standard library helper; temporary variable; exception handling; try-except wrapper; combined condition; conditional expression; type check; in-place mutation; error suppression; behavior change; boundary case handling,0.12
51,original,variable renaming; early return; loop rewrite; input validation; empty input handling; type conversion; temporary variable,0.28,variable renaming; import reorganization; loop rewrite; list conversion; accumulator list; in-place mutation; guard clause; input validation; boundary case handling; temporary variable; generator expression,0.22,variable renaming;temporary variable;loop rewrite;early return;guard clause;combined condition;input validation;empty input handling;type conversion;boundary case handling;behavior change,0.2,variable renaming;early return;guard clause;loop rewrite;temporary variable;input validation;boundary case handling;type conversion;any/all usage;combined condition;numpy vectorization,0.17,variable renaming;early return;guard clause;combined condition;accumulator list;list comprehension;generator expression;type conversion;type check;input validation;empty input handling;boundary case handling;builtin function;frequency counting,0.13
52,original,helper function extraction;guard clause;flattened conditional;list comprehension;tuple unpacking;variable renaming;behavior change;error suppression,0.28,import reorganization; regex usage; standard library helper; helper function extraction; state variable; copy before mutation; early return; list comprehension; dictionary lookup; input validation; behavior change,0.22,variable renaming; import reorganization; regex usage; helper function extraction; guard clause; list comprehension; tuple unpacking; empty input handling,0.18,import reorganization;helper function extraction;list comprehension;state variable;variable renaming;input validation;early return;error suppression,0.2,variable renaming; import reorganization; helper function extraction; dictionary lookup; regex usage; list comprehension; tuple unpacking; guard clause; flattened conditional; empty input handling; default value handling,0.12
53,original,variable renaming; set conversion; generator expression; loop rewrite; regex usage; import reorganization; default value handling; sort key,0.28,variable renaming; temporary variable; import reorganization; standard library helper; join/split usage; type conversion; behavior change,0.22,variable renaming; accumulator set; regex usage; sort key; early return; membership test; loop rewrite; sorting-based approach; import reorganization; case normalization,0.18,variable renaming; set conversion; import reorganization; regex usage; membership test; guard clause; sort key; loop rewrite,0.2,variable renaming; import reorganization; accumulator dict; dictionary lookup; combined condition; regex usage; membership test; default value handling; in-place mutation,0.12
54,original,variable renaming;tuple unpacking;list conversion;loop rewrite;queue-based;standard library helper;flattened conditional;import reorganization;generator expression;empty input handling,0.28,variable renaming; parameter renaming; tuple unpacking; helper function extraction; recursion with base case; standard library helper; generator expression; any/all usage; method renaming,0.22,variable renaming;tuple unpacking;helper function extraction;queue-based;graph traversal;standard library helper;state variable;memoization,0.2,variable renaming;tuple unpacking;temporary variable;early return;helper function extraction;loop rewrite;empty input handling;generator expression,0.18,variable renaming;tuple unpacking;helper function extraction;guard clause;queue-based;list conversion;in-place mutation;standard library helper;any/all usage;generator expression;boundary case handling,0.12
55,original,variable renaming; helper function inlining; loop rewrite; for loop; while loop; guard clause; empty input handling; sentinel flag; accumulator list; tuple unpacking; join/split usage; manacher algorithm,0.25,class renaming; variable renaming; method renaming; parameter renaming; loop rewrite; while loop; for loop; two pointer; tuple unpacking; slicing; temporary variable; early return; empty input handling; boundary case handling,0.3,class renaming; variable renaming; loop rewrite; for loop; recursion; list comprehension; in-place mutation; slicing; combined condition; dynamic programming; early return; empty input handling,0.15,class renaming; variable renaming; loop rewrite; for loop; accumulator string; temporary variable; slicing; brute force; early return; empty input handling,0.2,class renaming; variable renaming; helper removal; generator expression; slicing; builtin function; sort key; brute force; early return; empty input handling,0.1
