task_id,variant_1_label,variant_2_label,variant_3_label,variant_4_label,variant_5_label
1,helper function extraction;type check;default value handling;mathematical formula;builtin function;dimension reordering;behavior change,helper function extraction;type hinting;mathematical formula;behavior change;loop rewrite;builtin function;numpy usage;tensor conversion;dimension reordering,function extraction; parameter renaming; default value handling; type conversion; import reorganization; mathematical formula; behavior change; builtin function; slicing; dimension manipulation,helper function extraction; type conversion; mathematical formula; for loop; accumulator list; builtin function; behavior change,helper function extraction; type hinting; import reorganization; normalization; type conversion; builtin function; method renaming; parameter renaming; default value handling; slicing; permute; unsqueeze
2,helper function extraction; function renaming; import reorganization; behavior change; mathematical formula; conditional expression; type conversion; builtin function; literal rewrite,helper function extraction; function renaming; import reorganization; type conversion; behavior change; mathematical formula; conditional expression; error suppression,function definition;import reorganization;type conversion;behavior change;conditional expression;error suppression,function definition;import reorganization;behavior change;type conversion;mathematical formula;error suppression;redundant code;conditional assignment,function definition; import reorganization; type conversion; behavior change; algorithmic change; conditional expression; literal rewrite; default value handling
3,helper function extraction; function renaming; default value handling; import reorganization; standard library helper; mathematical formula,helper function extraction; default value handling; import reorganization; mathematical formula; literal rewrite,function extraction; function renaming; parameter renaming; default value handling; import reorganization; variable renaming; standard library helper; mathematical formula,helper function extraction; builtin function; default value handling; behavior change; mathematical formula,function definition; parameter default value; standard library helper; temporary variable; behavior change
4,function extraction; helper function inlining; algorithmic change; input validation; error handling; type conversion; combined condition; slicing; builtin function; standard library helper,function definition; type conversion; input validation; combined condition; behavior change; tensor manipulation; slicing; builtin function; mathematical formula,helper function extraction; algorithmic change; input validation; behavior change; type conversion; slicing; builtin function; stack-based; error handling; nested function,function definition;type conversion;input validation;exception handling;behavior change;combined condition;slicing;builtin function;standard library helper;tensor operations;helper function inlining;mathematical,function extraction; input validation; type conversion; algorithmic replacement; slicing; builtin function; standard library helper
5,helper function extraction; mathematical formula; in-place mutation; f-string,helper function extraction; builtin function; string formatting change; temporary variable,accumulator string;string formatting change;temporary variable,helper function extraction;accumulator list;join/split usage;f-string;combined condition,helper function extraction; mathematical formula; string formatting change
6,helper function extraction; builtin function; behavior change; type conversion,helper function extraction; branch reordering; type conversion; behavior change,helper function extraction; parameter renaming; type conversion; builtin function; behavior change; accumulator list; in-place mutation; join/split usage; f-string; flattened conditional,helper function extraction;builtin function;behavior change;branch reordering;type conversion,helper function extraction;accumulator list;join/split usage;builtin function;behavior change;flattened conditional;branch reordering;temporary variable;mathematical formula
7,helper function extraction; exception handling; f-string; behavior change,helper function extraction; variable renaming; exception handling; behavior change; f-string,helper function extraction; variable renaming; string formatting change; exception handling; behavior change; builtin function,helper function extraction; behavior change; exception handling; input validation; standard library helper,helper function extraction; standard library helper; exception handling; type conversion; behavior change; f-string
8,helper function extraction;behavior change;temporary variable removal;import reorganization,helper function extraction; behavior change; type conversion; builtin function,helper function extraction; behavior change; type conversion; standard library helper; import reorganization,helper function extraction; import reorganization; builtin function; type conversion; behavior change,helper function extraction; import reorganization; standard library helper; behavior change; type conversion
9,behavior change;input validation;builtin function;try-except wrapper;early return;flattened conditional,behavior change; helper function extraction; type annotation; loop rewrite; string slicing; membership test; builtin function; literal rewrite,function definition; regex usage; behavior change; standard library helper; literal rewrite,function extraction; type hinting; behavior change; conditional expression; builtin function; exception handling; string method; literal rewrite,helper function extraction; behavior change; input validation; early return; string formatting change; membership test
10,loop rewrite; builtin function; literal rewrite; behavior change; helper function extraction; import reorganization; temporary variable,helper function extraction;mathematical formula;vectorization;temporary variable;builtin function;behavior change,function definition; import reorganization; helper function extraction; loop rewrite; temporary variable; behavior change,function extraction; loop rewrite; temporary variable; behavior change; variable renaming; import reorganization,function definition; loop rewrite; mixed library usage; temporary variable; type conversion
11,helper function extraction; default value handling; early return; combined condition; type annotations; string formatting change; list comprehension; behavior change,helper function extraction; parameter renaming; default value handling; guard clause; exception handling; behavior change; combined condition; early return; temporary variable,helper function extraction;parameter renaming;default value handling;combined condition;input validation;exception handling;behavior change;in-place mutation,helper function extraction; default value handling; behavior change; input validation; exception handling; literal rewrite; slicing; in-place mutation,helper function extraction; exception handling; behavior change; combined condition; input validation; temporary variable; generator expression; list conversion; early return; copy before mutation
12,algorithmic change; helper function extraction; default value handling; import reorganization; temporary variable; builtin function; variable renaming,algorithmic change;helper function extraction;default value handling;temporary variable,function definition;import reorganization;parameter addition;default value handling;behavior change;mathematical formula;temporary variable;variable renaming,helper function extraction;algorithmic change;default value handling;temporary variable;literal rewrite,helper function extraction; standard library helper; temporary variable; default value handling; import reorganization
13,helper function extraction; import reorganization; algorithmic change; loop rewrite; slicing; in-place mutation; behavior change,behavior change; mathematical formula; in-place mutation; slicing; builtin function,algorithmic change; mathematical formula; helper function extraction; slicing; in-place mutation; builtin function; behavior change,mathematical formula;algorithmic change;builtin function;slicing;in-place mutation;tuple unpacking;loop rewrite,behavior change; algorithmic change; loop rewrite; builtin function; slicing; in-place mutation; function renaming; import reorganization
14,variable renaming;builtin function;mathematical formula;temporary variable;guard clause;behavior change;robustness;default value handling,function definition; default value handling; import reorganization; variable renaming; builtin function; behavior change; temporary variable; mathematical formula; guard clause; robustness`,function definition; default value handling; import reorganization; builtin function; behavior change; in-place mutation; mathematical formula; standard library helper; algorithmic change; conditional expression; boundary case handling,function definition; default value handling; import reorganization; behavior change; variable renaming; temporary variable; mathematical formula; conditional expression; robustness; empty input handling,function definition;default value handling;import reorganization;behavior change;boundary case handling;mathematical formula;temporary variable;variable renaming
15,function definition; import reorganization; behavior change; exception handling; temporary variable,helper function extraction; import reorganization; exception handling; behavior change; mathematical formula; parameter change,function extraction; behavior change; input validation; exception handling; mathematical formula; temporary variable; builtin function; import reorganization,function definition; standard library helper; exception handling; behavior change; input validation,helper function extraction; import reorganization; input validation; behavior change; exception handling; mathematical formula
