task_id,variant_1_label,variant_2_label,variant_3_label,variant_4_label,variant_5_label
82,docstring addition; type conversion; temporary variable; input validation; early return; behavior change; enumerate loop; in-place mutation; combined condition; generator expression; builtin function; f-string,data structure change; dictionary lookup; helper function extraction; list comprehension; type conversion; temporary variable; input validation; early return; behavior change; helper function inlining; builtin function; generator expression; f,import reorganization; standard library helper; type conversion; variable renaming; data structure change; state variable; helper function extraction; list comprehension; dictionary lookup; temporary variable; input validation; early return;,dataclass usage; class creation; helper function extraction; list comprehension; dictionary lookup; state variable; input validation; type conversion; behavior change; mathematical formula; early return; generator expression; builtin function,data structure change; helper function extraction; type conversion; accumulator dict; list comprehension; input validation; early return; temporary variable; helper function usage; behavior change; enumerate loop; combined condition; in
83,standard library helper;literal rewrite;input validation;default value handling;variable renaming;behavior change;docstring addition,state variable;resource management;try-except wrapper;behavior change;input validation;type check;exception handling;list comprehension;builtin function;string formatting change;documentation,builtin function;temporary variable;literal rewrite;string formatting change;behavior change;input validation;exception handling;default value handling;f-string;parameter renaming,exception handling;variable renaming;literal rewrite;behavior change;input validation;temporary variable;dictionary lookup;formatting only,docstring addition;import reorganization;context manager usage;behavior change;helper function extraction;while loop;try-except wrapper;exception handling;standard library helper;input validation;empty input handling;default
84,formatting only; builtin function; parameter renaming; string formatting change; temporary variable; type check; exception handling; type conversion; behavior change; generator expression,type conversion;standard library helper;builtin function;behavior change;type check;exception handling;try-except wrapper;nested conditional;regex usage;list comprehension;string formatting change,standard library helper; formatting only; parameter renaming; robustness; type check; nested conditional; exception handling; type conversion; list comprehension; for loop; accumulator list; variable renaming; helper function inlining,import reorganization; formatting only; variable renaming; robustness: encoding handling; robustness: error handling; type check; exception handling; builtin function; behavior change; regex usage; standard library helper; helper,docstring addition;behavior change;builtin function;standard library helper;temporary variable;error suppression;type check;nested conditional;try-except wrapper;exception handling;type conversion;encoding
85,import reorganization; type conversion; literal rewrite; reversed condition; exception handling; behavior change; flattened conditional; combined condition; early return; mathematical formula; builtin function; temporary variable; loop rewrite,formatting only; type conversion; reversed condition; literal rewrite; exception handling; behavior change; branch reordering; variable renaming; conditional expression; temporary variable; loop rewrite; mathematical formula; boundary case,string formatting change; variable renaming; type conversion; builtin function; reversed condition; literal rewrite; exception handling; behavior change; mathematical formula; early return; temporary variable; guard clause,type conversion; string formatting change; type check; temporary variable; membership test; behavior change; exception handling; conditional expression; flattened conditional; loop rewrite; for loop; builtin function; mathematical formula; early,type conversion;reversed condition;exception handling;behavior change;conditional expression;branch reordering;helper function extraction;generator expression;loop rewrite;floating point precision;builtin function
86,state variable; behavior change; input validation; guard clause; flattened conditional; loop rewrite; early return; variable renaming,formatting only; behavior change; state variable; input validation; boundary case handling; guard clause; early return; accumulator list; list comprehension; builtin function; zip usage; any/all usage,docstring addition; behavior change; state variable; loop rewrite; input validation; boundary case handling; guard clause; helper function extraction; join/split usage; generator expression; string formatting change,behavior change;state variable;input validation;boundary case handling;guard clause;early return;dictionary lookup;algorithmic change;loop rewrite;set conversion;membership test;builtin function;generator expression,docstring addition; behavior change; state variable; accumulator list; precomputation; data structure change; input validation; guard clause; reversed condition; algorithmic change; loop rewrite; list comprehension; builtin
87,import reorganization; type hint; formatting only; behavior change; literal rewrite; input validation; exception handling; variable renaming; loop rewrite; split/join usage; generator expression; conditional expression; default value,import reorganization; formatting only; builtin function; behavior change; literal rewrite; input validation; exception handling; mathematical formula; regex usage; default value handling; loop rewrite; tuple unpacking; generator expression,string formatting change; temporary variable; behavior change; input validation; exception handling; try-except wrapper; loop rewrite; robustness; regex usage; list comprehension; default value handling; builtin function;,docstring addition;behavior change;f-string;literal rewrite;input validation;string formatting change;regex usage;default value handling;type conversion;builtin function;mathematical formula,behavior change; string formatting change; input validation; exception handling; try-except wrapper; type conversion; default value handling; mathematical formula; formatting only
88,documentation change; helper function extraction; mathematical formula; variable renaming; input validation; exception handling; loop rewrite; algorithmic change; constant renaming; default value handling; conditional expression; branch reordering;,loop rewrite; variable renaming; input validation; boundary case handling; helper function extraction; mathematical formula; algorithmic optimization; recurrence relation; helper function call; behavior change; method renaming; constant renaming;,accumulator dict;state variable;memoization;input validation;exception handling;dictionary lookup;helper function extraction;mathematical formula;algorithmic;branch reordering;parameter renaming;literal rewrite;behavior change;,input validation; exception handling; loop rewrite; variable renaming; helper function extraction; mathematical formula; angle normalization; recurrence relation; algorithmic optimization; code simplification; default value handling; constant renaming; conditional expression;,input validation; loop rewrite; variable renaming; behavior change; helper function extraction; mathematical formula; early return; guard clause; loop rewrite; conditional expression; temporary variable; builtin function; constant renaming
89,docstring addition; list comprehension; return value change; guard clause; copy before mutation; helper function extraction; regex usage; multiset comparison; sorting-based approach; input validation; algorithmic change;,list comprehension; helper function extraction; regex usage; standard library helper; frequency counting; input validation; behavior change; early return; type conversion; builtin function; exception handling; security improvement; mathematical formula,import reorganization; string formatting change; list comprehension; behavior change; guard clause; copy before mutation; input validation; builtin function; mathematical formula; helper function extraction; membership test; sorting-based approach,list comprehension; behavior change; guard clause; copy before mutation; helper function extraction; regex usage; recursion; type check; standard library helper; input validation; exception handling; security improvement;,class docstring; list comprehension; helper function extraction; regex usage; list comprehension; sorting-based approach; frequency counting; early return; input validation; behavior change; default value handling; helper function extraction
90,standard library helper; builtin function; state variable; default value handling; behavior change; accumulator string; dict comprehension; early return; docstring addition,regex usage; helper function extraction; default value handling; guard clause; behavior change; standard library helper; join/split usage; for loop; tuple unpacking; dictionary lookup; string formatting change; empty,standard library helper;helper function extraction;temporary variable;default value handling;dict comprehension;behavior change;string concatenation,helper function extraction;state variable;guard clause;empty input handling;string manipulation;prefix/suffix computation;standard library helper;builtin function;behavior change;accumulator dict;accumulator string;import,standard library helper;temporary variable;default value handling;behavior change;string formatting change;loop rewrite;accumulator dict;builtin function;import reorganization;formatting only;dictionary lookup
91,documentation improvement; input validation; type conversion; guard clause; behavior change; helper function inlining; state variable; standard library helper; exception handling; try-except wrapper; default value handling; branch,documentation improvement;input validation;type conversion;behavior change;list comprehension;early return;deque usage;try-except wrapper;standard library helper;regex usage;error suppression;builtin function;type conversion,input validation;type conversion;behavior change;list comprehension;join/split usage;empty input handling;state variable;standard library helper;default value handling;exception handling;error suppression;string method;,documentation improvement;behavior change;input validation;type conversion;early return;temporary variable;state variable;exception handling;standard library helper;builtin function;error suppression;empty input handling;loop,input validation; type conversion; empty input handling; list comprehension; split/join usage; behavior change; stack-based; boundary case handling; state variable; exception handling; standard library helper; default value
92,documentation;new method;database schema change;behavior change;database query change;helper function inlining;early return;flattened conditional;return type change;literal rewrite,standard library helper;helper function extraction;algorithmic;data structure change;robustness;behavior change;string formatting change;guard clause;empty input handling,standard library helper; formatting only; new functionality; helper function extraction; security improvement; database schema change; behavior change; type conversion; literal rewrite; membership test; early return,standard library helper; state variable; helper function extraction; dict comprehension; database schema change; thread safety; behavior change; cache management; membership test; dictionary lookup; conditional expression; early return; string,import reorganization; literal rewrite; behavior change; state variable; helper function extraction; standard library helper; branch reordering; default value handling; type conversion
93,documentation change;type conversion;builtin function;guard clause;boundary case handling;behavior change;empty input handling;list comprehension;data structure change;method renaming;branch reordering;array masking;,type conversion;temporary variable;conditional expression;guard clause;default value handling;behavior change;loop rewrite;accumulator list;builtin function;helper function extraction,builtin function; type conversion; behavior change; default value handling; empty input handling; list comprehension; conditional assignment; guard clause; mathematical formula; dictionary comprehension; literal rewrite,docstring addition;type conversion;builtin function;method chaining;guard clause;boundary case handling;default value handling;algorithmic change;loop rewrite;list comprehension;accumulator list;list conversion;empty input,type conversion; boundary case handling; guard clause; mathematical formula; builtin function; accumulator list; loop rewrite; error suppression; helper function extraction; f-string; temporary variable; dict comprehension
94,documentation;input validation;type conversion;behavior change;early return;guard clause;mathematical formula;flattened conditional;branch reordering;literal rewrite;string formatting change;variable renaming,import reorganization; class extraction; data structure change; literal rewrite; type conversion; input validation; early return; combined condition; behavior change; builtin function; dictionary lookup; guard clause; attribute access,import reorganization; class renaming; method renaming; variable renaming; parameter renaming; string formatting change; literal rewrite; formatting only; helper function extraction; builtin function; type conversion; behavior change; input validation,docstring addition;type conversion;data structure change;input validation;guard clause;behavior change;comment addition;exception handling;builtin function;floating point precision handling;tuple unpacking;in-place mutation,type conversion; behavior change; input validation; guard clause; exception handling; try-except wrapper; builtin function; dictionary lookup; branch reordering; sort key; f-string; formatting only
95,docstring addition; reversed condition; behavior change; guard clause; early return; flattened conditional; direct attribute access,comment addition;docstring addition;branch reordering;behavior change;builtin function;guard clause;early return;temporary variable;flattened conditional;combined condition;input validation;default value handling,documentation; reversed condition; early return; guard clause; behavior change; temporary variable; nested conditional; builtin function,import reorganization; documentation added; state variable; standard library helper; reversed condition; behavior change; guard clause; early return; direct attribute access,literal rewrite; reversed condition; behavior change; early return; guard clause; temporary variable
96,documentation; input validation; exception handling; behavior change; temporary variable; default value handling; string formatting change; combined condition; flattened conditional; boundary case handling; state variable; mathematical formula; literal,state variable;behavior change;for loop;type check;default value handling;string formatting change;early return;guard clause;combined condition;literal rewrite,formatting only;type check;dictionary lookup;robustness;loop rewrite;input validation;behavior change;empty input handling;default value handling;temporary variable;string formatting change;flattened conditional;early,input validation;behavior change;default value handling;dictionary lookup;string formatting change;helper function extraction;combined condition;in-place mutation;empty input handling;boundary case handling;type conversion;loop,input validation;behavior change;default value handling;dictionary lookup;loop rewrite;string formatting change;type check;flattened conditional;helper function extraction;method renaming;in-place mutation
97,behavior change; helper function extraction; input validation; exception handling; regex usage; string formatting change; temporary variable; early return; guard clause; loop rewrite; membership test; type check; default,import reorganization; class renaming; variable renaming; helper function extraction; regex usage; list comprehension; builtin function; behavior change; slicing; functools reduce; state variable; early return; exception,import reorganization; class renaming; method renaming; helper function extraction; parameter renaming; variable renaming; guard clause; exception handling; type check; behavior change; regex usage; string formatting change;,variable renaming;helper function extraction;regex usage;list comprehension;input validation;exception handling;behavior change;early return;string formatting change;class documentation;empty input handling;literal rewrite;membership test,variable renaming; behavior change; guard clause; helper function extraction; builtin function; regex usage; standard library helper; list comprehension; loop rewrite; nested conditional; exception handling; accumulator variable;
98,documentation addition;behavior change;exception handling;guard clause;default value handling;input validation;in-place mutation;string formatting change,docstring addition;iterparse usage;standard library helper;sentinel flag;behavior change;guard clause;default value handling;exception handling;parameter addition;list conversion;conditional logic;string formatting,import reorganization; string formatting change; helper function extraction; standard library helper; builtin function; exception handling; behavior change; guard clause; default value handling; type conversion; in-place mutation; conditional expression,import reorganization; documentation change; helper function extraction; recursion; string formatting change; behavior change; exception handling; guard clause; copy before mutation; standard library helper; literal rewrite; list conversion; list comprehension,documentation added;standard library helper;exception handling removal;behavior change;guard clause;parameter modification;helper function extraction;recursion;list conversion;conditional expression;builtin function;combined condition;membership test
