task_id,variant_1_label,variant_2_label,variant_3_label,variant_4_label,variant_5_label
0,helper function extraction; sorting-based approach; in-place mutation; loop rewrite; mathematical formula,itertools usage; algorithmic optimization; helper function extraction; variable renaming,helper function extraction; temporary variable; loop rewrite; index-based loop; builtin function; flattened conditional,helper function extraction; builtin function; type conversion; mathematical formula; vectorization; matrix manipulation; any/all usage; algorithmic optimization,helper function extraction; accumulator set; temporary variable; builtin function; any/all usage; generator expression; early return; algorithmic approach change
1,variable renaming; accumulator string; join/split usage; behavior change,function definition;type hints;behavior change;variable renaming;stack-based;accumulator string;membership test;join/split usage,function definition;type hint;string formatting change;nested loop;slicing;temporary variable;accumulator list;enumerate loop;builtin function;branch reordering,function definition;type hints;string manipulation;variable renaming;accumulator string;input validation;exception handling;behavior change,function extraction;parameter renaming;type annotation;builtin function;string formatting change;string manipulation;list comprehension;behavior change
2,helper function extraction; type conversion; builtin function; behavior change; mathematical formula,function definition; type hint; standard library helper; mathematical formula,helper function extraction; type hint addition; literal rewrite,behavior change;type conversion;string formatting change;slicing;conditional statement;function definition,behavior change; helper function extraction; temporary variable; builtin function; mathematical formula
3,variable renaming; helper function extraction; type annotation addition; import addition,helper function extraction; early return; loop rewrite,builtin function; any/all usage; generator expression; slicing; helper function extraction; type conversion; algorithmic change,variable renaming;helper function extraction;type hinting,helper function extraction; type hint; in-place mutation; index-based loop; state variable removal
4,function extraction; variable renaming; standard library helper; type annotation,helper function extraction; numpy usage; list conversion; type annotation; vectorization,helper function extraction;type hinting;temporary variable;variable renaming,type annotation; variable renaming; temporary variable; in-place mutation; sorting-based approach; conditional expression; median calculation; behavior change,helper function extraction; variable renaming; type hinting
5,helper function extraction; enumerate loop; branch reordering; parameter renaming,list comprehension; zip usage; slicing; conditional expression; empty input handling; loop rewrite,loop rewrite; slicing; empty input handling,function renaming; conditional expression; flattened conditional; generator expression; builtin function; slicing; accumulator list,helper function extraction;list comprehension;slicing;nested conditional;behavior change
6,helper function inlining; function renaming; type hints; list comprehension; accumulator list; for loop; variable renaming; builtin function; empty input handling`,function renaming;type hinting;helper function inlining;accumulator list;stack-based;for loop;builtin function,helper function inlining; list comprehension; for loop; accumulator list; builtin function; parameter renaming; variable renaming; type annotation,function renaming;parameter renaming;variable renaming;type conversion;helper function inlining;list comprehension;accumulator list;join/split usage;empty input handling;branch reordering,helper function inlining; accumulator list; function renaming; parameter renaming; variable renaming; string formatting change; type conversion; type check; behavior change
7,helper function extraction; loop rewrite; for loop; accumulator list; temporary variable; variable renaming,helper function extraction; function renaming; variable renaming; parameter renaming,function definition; helper function extraction; map/filter usage; list conversion,helper function extraction; recursion; recursion with base case; accumulator list; slicing; early return; default value handling; function renaming; parameter renaming; in-place mutation; empty input handling,helper function extraction; lambda expression; map/filter usage; list conversion; behavior change
8,helper function extraction; variable renaming; type annotation,helper function extraction;builtin function;map/filter usage;join/split usage;conditional expression;empty input handling,builtin function;standard library helper;lambda expression;loop rewrite;helper function extraction;import reorganization;type annotation,helper function extraction; accumulator list; variable renaming; list conversion,function definition; type annotation; empty input handling; variable renaming; slicing; loop rewrite
9,helper function extraction; variable renaming; sentinel flag; flattened conditional,list comprehension; slicing; builtin function; loop rewrite; state variable; accumulator list; helper function extraction; type conversion`,variable renaming;slicing;loop rewrite;builtin function;behavior change,function definition; type hinting; loop rewrite; temporary variable; flattened conditional; behavior change; boundary case handling,variable renaming; stack-based; helper function extraction
10,helper function extraction; type hinting; builtin function,two pointer; early return; type annotation,helper function extraction; recursion with base case; early return; type conversion; type check; slicing; empty input handling,helper function extraction; type conversion; temporary variable; tuple unpacking; while loop; index-based loop; in-place mutation; join/split usage; membership test,helper function definition; stack-based; for loop; early return; accumulator list
11,helper function inlining; builtin function; type conversion; function renaming,function renaming; helper function inlining; loop rewrite; index-based loop; accumulator string; builtin function,function renaming; helper function inlining; builtin function; type conversion; slicing; mathematical formula,function renaming; type hinting; helper function inlining; for loop; accumulator string; builtin function; type conversion; behavior change; join/split usage; generator expression; temporary variable,helper function inlining; conditional expression; list comprehension; type annotation; function encapsulation
12,helper function extraction; function renaming; variable renaming; type annotation,builtin function;sort key;empty input handling;helper function extraction,accumulator string;loop rewrite;slicing;builtin function,sorting-based approach;builtin function;generator expression,function renaming; type hinting; empty input handling; builtin function; lambda expression; sort key; temporary variable elimination; flattened conditional
13,helper function extraction; function renaming; literal rewrite; builtin function; behavior change,builtin function; standard library helper; function definition; type hint addition; import addition,loop rewrite; recursion; helper function extraction; parameter renaming; builtin function; behavior change,algorithmic change; function renaming; type annotation; helper function extraction; accumulator list; set conversion; builtin function; temporary variable; for loop; while loop; in-place mutation,mathematical formula; helper function extraction; set conversion; set intersection; frequency counting; accumulator list; while loop; for loop; builtin function; function definition; type hints
14,helper function extraction; variable renaming; loop rewrite; type hinting,helper function extraction;list comprehension;loop rewrite,function definition; type hints; variable renaming; loop rewrite; accumulator string; temporary variable,helper function extraction; function renaming; variable renaming; type annotation,helper function extraction; itertools usage; lambda expression; list conversion; loop rewrite
15,helper function extraction; map/filter usage; type hints,helper function extraction; for loop; accumulator list; variable renaming; type annotation,helper function extraction; variable renaming; generator expression; type hint addition,function definition;early return;boundary case handling;generator expression;variable renaming,function definition; type hint; for loop; accumulator string; string formatting change; builtin function
16,helper function extraction;function renaming;parameter renaming,helper function extraction; accumulator set; for loop; builtin function,function renaming; set comprehension,helper function extraction; for loop; accumulator dict; set conversion; type annotation,function definition; type annotation; builtin function; data structure change
17,helper function extraction; variable renaming; accumulator list; temporary variable; for loop; nested conditional; membership test; default value handling,helper function extraction; type hint addition; variable renaming; list comprehension; for loop; accumulator list; membership test; builtin function; dictionary lookup; default value handling,function definition; type conversion; variable renaming; loop rewrite; accumulator list; accumulator string; builtin function; default value handling; behavior change; import reorganization,variable renaming;list comprehension;loop rewrite;builtin function;slicing;accumulator list;string formatting change;helper function extraction;type conversion;input validation,function extraction; type hint addition; variable renaming; loop rewrite; accumulator list; string formatting change; slicing; sentinel flag; prefix matching; behavior change
18,helper function extraction; variable renaming; builtin function; type conversion,helper function extraction; variable renaming; loop rewrite; builtin function,helper function extraction; function renaming; variable renaming; parameter renaming; type annotation,function definition; type conversion; builtin function; generator expression; loop rewrite,variable renaming;loop rewrite;early return;builtin function
19,helper function extraction; function renaming; parameter renaming; variable renaming; temporary variable; builtin function; list comprehension; sort key; lambda expression; join/split usage; type annotation,function definition; variable renaming; builtin function; sort key; loop rewrite; in-place mutation; brute force; type hint,variable renaming; helper function extraction; in-place mutation; builtin function,function definition;helper function extraction;variable renaming;algorithmic;recursion;recursion with base case;list comprehension;dictionary lookup;join/split usage,function definition;type hints;variable renaming;helper function extraction;recursion with base case;algorithmic change;merge sort;accumulator list;temporary variable;while loop;dictionary lookup;slic
20,sorting-based approach;loop rewrite;default value handling;helper function extraction,default value handling; loop rewrite; nested loop optimization; flattened conditional,sorting-based approach;builtin function;lambda expression;generator expression;in-place mutation;function definition;type hints,helper function extraction; itertools usage; builtin function; lambda expression; flattened conditional; algorithmic change,sorting-based approach;standard library helper;type conversion;function renaming;parameter renaming;type check;default value handling
21,helper function extraction;variable renaming,variable renaming; helper function extraction; loop rewrite; state variable,helper function extraction;type annotation;variable renaming;temporary variable;conditional expression;boundary case handling,helper function extraction; variable renaming; in-place mutation; sorting-based approach; type annotation,helper function extraction; type conversion; standard library helper; list comprehension removal
22,helper function extraction; variable renaming; type hint addition,helper function extraction; function renaming; loop rewrite; accumulator list; variable renaming; behavior change,helper function extraction; map/filter usage; list conversion; builtin function,helper function extraction; list comprehension; for loop; accumulator list; variable renaming,helper function extraction;recursion;recursion with base case;accumulator list;slicing;loop rewrite;empty input handling;copy before mutation
23,helper function extraction;type annotation,new function definition; type annotation; for loop; accumulator variable,helper function extraction; builtin function; generator expression,function definition; type check; temporary variable; while loop; slicing; in-place mutation; accumulator; loop rewrite; builtin function,helper function extraction; recursion; slicing; empty input handling; type hint addition
24,helper function extraction; loop rewrite; boundary case handling,helper function extraction; loop rewrite; while loop; mathematical formula; early return; default value handling; type conversion,helper function extraction; loop rewrite; algorithmic change; while loop; tuple unpacking,function extraction; type hint; temporary variable; loop rewrite; early return; sentinel flag; behavior change,loop rewrite;recursion;helper function extraction;function renaming;type conversion`
25,variable renaming; loop rewrite; nested conditional; helper function extraction,helper function extraction; type annotation; variable renaming; loop rewrite; for loop; builtin function,function renaming; parameter renaming; type check; helper function extraction; early return; mathematical formula; loop rewrite; algorithmic inefficiency; boundary case handling; accumulator list; in-place mutation,function definition; type hint; variable renaming; loop rewrite; builtin function,function renaming; variable renaming; mathematical formula; reversed condition; branch reordering; import reorganization; type hinting
26,helper function extraction;type hint addition;import reorganization;variable renaming;literal rewrite,helper function extraction; type check; variable renaming; function renaming; accumulator set; for loop; nested conditional; membership test; frequency counting; standard library helper removal,helper function extraction; type hint; for loop; accumulator list; builtin function; algorithmic change; variable renaming; loop variable renaming,helper function extraction; type hint addition; standard library helper; accumulator dict; loop rewrite; dictionary lookup; builtin function; list comprehension; membership test; variable renaming,type hint addition; function extraction; for loop; accumulator list; set conversion; builtin function; generator expression; behavior change
27,helper function extraction;accumulator string;for loop;conditional;builtin function,helper function extraction; generator expression; conditional expression; join/split usage,helper function extraction; for loop; accumulator list; join/split usage; conditional; builtin function,helper function extraction; type hint addition,builtin function; for loop; index-based loop; accumulator list; join/split usage; conditional; temporary variable
28,helper function extraction; for loop; accumulator string; join/split usage; type conversion,import reorganization; helper function extraction; type check,helper function extraction; standard library helper; functools reduce; lambda expression; type check,helper function extraction; empty input handling; early return; accumulator string; temporary variable; for loop; slicing,helper function extraction; type hinting; accumulator list; temporary variable; for loop
29,helper function extraction; variable renaming,helper function extraction; for loop; accumulator list; in-place mutation; variable renaming,helper function extraction;parameter renaming;map/filter usage;lambda expression;list conversion,helper function extraction; variable renaming; builtin function; slicing,function definition; class creation; method definition; builtin function; list conversion; callable object
30,helper function extraction;variable renaming;formatting only,helper function extraction; loop rewrite; accumulator list; variable renaming,helper function extraction; parameter renaming; lambda expression; map/filter usage; builtin function; list conversion,helper function extraction; recursion; recursion with base case; slicing; list concatenation; function renaming; parameter renaming; type hint; loop rewrite,helper function extraction; loop rewrite; list comprehension; for loop; accumulator list; type check; behavior change; variable renaming
31,helper function extraction;variable renaming;literal rewrite;algorithmic optimization;mathematical formula;builtin function,helper function extraction; boundary case handling; early return; mathematical formula; loop rewrite; variable renaming; split condition,function renaming; algorithmic change; sieve of eratosthenes; accumulator list; slicing; in-place mutation; loop rewrite; mathematical formula; boundary case handling,helper function extraction;recursion;loop rewrite;algorithmic optimization;guard clause;literal rewrite,function definition;algorithmic optimization;loop rewrite;early return;guard clause;combined condition;mathematical formula;boundary case handling
32,helper function extraction; enumerate loop; temporary variable; mathematical formula,helper function extraction; for loop; temporary variable; accumulator variable,standard library helper; slicing; behavior change; import reorganization,helper function addition; while loop; temporary variable; type conversion; type check,helper function extraction; enumerate loop; builtin function; temporary variable
33,function definition; type hint; list comprehension; for loop; conditional logic; temporary variable; accumulator list; in-place mutation; copy before mutation; behavior change,helper function extraction; type check; list comprehension; accumulator list; builtin function; zip usage; in-place mutation; slicing; copy before mutation; behavior change,function renaming; parameter renaming; list comprehension; enumerate loop; builtin function; temporary variable; conditional expression; list consumption; behavior change,function renaming;type check;copy before mutation;slicing;list comprehension;accumulator list;index-based loop;mathematical formula;builtin function;sorting-based approach;in-place,function renaming; parameter renaming; type conversion; list comprehension; enumerate loop; builtin function; zip usage; conditional expression; copy before mutation; flattened conditional
34,helper function extraction;type annotation;list conversion,function definition; for loop; accumulator list; membership test; builtin function,helper function extraction; builtin function,helper function extraction; in-place mutation; accumulator list; for loop; combined condition; list conversion; set conversion,helper function extraction; empty input handling; in-place mutation; accumulator list; loop rewrite; index-based loop; sorting-based approach
35,builtin function; helper function extraction; type annotation,helper function extraction;variable renaming,helper function extraction; input validation; empty input handling; exception handling; behavior change; builtin function; sorting-based approach; slicing,loop rewrite; helper function extraction; recursion; recursion with base case; slicing; conditional expression,function definition; type hint; standard library helper; lambda expression; conditional expression; loop rewrite
36,helper function extraction; variable renaming; behavior change; builtin function; temporary variable,helper function extraction; type conversion; behavior change; accumulator list; accumulator string; map/filter usage; list conversion; join/split usage; temporary variable; nested loop; builtin function,helper function extraction; variable renaming; list comprehension; behavior change; builtin function; loop rewrite,function renaming; parameter renaming; loop rewrite; behavior change; string formatting change; builtin function; temporary variable removal; accumulator list removal; map/filter usage removal; join/split usage removal; membership test,generator expression; list comprehension; builtin function; sum/any/all usage; string formatting change; behavior change; helper function extraction
37,list comprehension; builtin function; index-based loop; temporary variable; conditional; accumulator list; behavior change,helper function extraction; parameter renaming; slicing; builtin function; temporary variable; in-place mutation; for loop; conditional statement; index-based loop; variable renaming,function definition; type hint; list comprehension; builtin function; conditional expression; enumerate loop; mathematical formula; algorithmic change; temporary variable; slicing; loop rewrite,function definition;type hint;list comprehension;conditional expression;enumerate loop;builtin function;slicing;behavior change,helper function extraction; recursion; early return; in-place mutation; slicing; builtin function; behavior change; function definition
38,list comprehension; slicing; conditional expression; join/split usage; type conversion; string formatting change,function definition; type conversion; accumulator string; for loop; index-based loop; slicing; temporary variable; conditional; string concatenation,accumulator list; for loop; index-based loop; combined condition; join/split usage; type annotation,helper function extraction; list comprehension; map/filter usage; join/split usage; slicing; conditional statement; string formatting change; type annotation,import reorganization; standard library helper; list comprehension; slicing; builtin function; generator expression; join/split usage; conditional expression; type conversion
39,parameter renaming;variable renaming;mathematical formula;type conversion;type check;function renaming;helper function extraction;accumulator list;tuple unpacking;state variable;loop rewrite;membership test;,function renaming;parameter renaming;variable renaming;type hinting;mathematical formula;helper function extraction;list comprehension;index-based access;behavior change;arbitrary limit,function renaming;parameter renaming;variable renaming;type conversion;builtin function;generator expression;tuple unpacking;nested conditional;helper function extraction;mathematical formula;empty input handling,standard library helper;tuple unpacking;state variable;type conversion;variable renaming;combined condition,helper function extraction; type annotation; builtin function; algorithmic simplification; loop rewrite; list comprehension; filtering; index-based access; arbitrary limit; dead code removal
40,helper function extraction; type check,sorting-based approach;two pointer;early return;in-place mutation;while loop;branch reordering,helper function extraction;accumulator set;membership test;algorithmic optimization,guard clause; input validation; sorting-based approach; in-place mutation; algorithmic change; behavior change,function definition; type hint; in-place mutation; sorting-based approach; two pointer; loop rewrite; guard clause; temporary variable; flattened conditional`
41,function naming; literal rewrite; type check,helper function extraction; for loop; accumulator variable; mathematical formula,helper function extraction; type hinting; builtin function; generator expression,helper function extraction; type hint; formatting only,function definition; for loop; accumulator variable; behavior change; type annotation
42,helper function extraction; variable renaming; type hint,helper function extraction; loop rewrite; accumulator list; variable renaming,helper function extraction; builtin function; lambda expression; list conversion,function definition;recursion;conditional expression;empty input handling;slicing;list concatenation;recursion with base case,helper function extraction; map/filter usage; lambda expression; literal rewrite; type hint
43,helper function extraction; loop rewrite; temporary variable`,loop rewrite; accumulator set; membership test; algorithmic improvement,helper function extraction;sorting-based approach;in-place mutation;two pointer;while loop;algorithmic change;branch reordering,helper function extraction; import reorganization; standard library helper; itertools usage; builtin function; loop rewrite,function renaming; accumulator dict; frequency counting; dictionary lookup; membership test; loop rewrite; combined condition
44,helper function extraction; variable renaming; builtin function; tuple unpacking,function definition; type hints; behavior change; boundary case handling; accumulator list; slicing; map/filter usage; join/split usage; loop rewrite,variable renaming; literal rewrite; string formatting change,helper function extraction; variable renaming; state variable; builtin function; conditional; behavior change; empty input handling; conditional expression,function renaming; parameter renaming; variable renaming; temporary variable; conditional expression; behavior change; default value handling
45,helper function extraction; literal rewrite,helper function extraction; literal rewrite; formatting only,helper function extraction;temporary variable;literal rewrite,helper function extraction; literal rewrite,helper function extraction; import reorganization; standard library helper; mathematical formula; literal rewrite
46,function definition; early return; boundary case handling; state variable; tuple unpacking; loop rewrite,function definition; parameter renaming; split condition; literal rewrite; accumulator list; dynamic programming; iterative calculation; index-based loop,function renaming; parameter renaming; split condition; flattened conditional; temporary variable; tuple unpacking; builtin function; list conversion; sliding window; in-place mutation,function definition;early return;split condition;accumulator dict;dictionary lookup;list comprehension;builtin function;dynamic programming;memoization;default value handling,algorithmic change;matrix exponentiation;helper function extraction;loop rewrite;type hint;temporary variable
47,helper function extraction;variable renaming;temporary variable,standard library helper; helper function extraction,helper function extraction; in-place mutation; temporary variable; type check,helper function extraction; variable renaming; temporary variable,temporary variable; input validation; empty input handling; exception handling; variable renaming; type check
