task_id,base_code_label,variant_1_label,variant_1_probability,variant_2_label,variant_2_probability,variant_3_label,variant_3_probability,variant_4_label,variant_4_probability,variant_5_label,variant_5_probability
RWPB/109,original,import reorganization; helper function extraction; temporary variable; builtin function,0.3,standard library helper; import reorganization; helper function extraction; temporary variable; slicing,0.22,variable renaming;temporary variable;import reorganization;helper function extraction;formatting only,0.18,import reorganization; loop rewrite; for loop; index-based loop; accumulator list; temporary variable; helper function extraction,0.12,import reorganization; nested function; helper function extraction; temporary variable; broadcasting matmul,0.18
RWPB/54,original,variable renaming;guard clause;nested conditional;exception handling;tuple unpacking;temporary variable;type conversion;mathematical formula;input validation;boundary case handling,0.38,import reorganization;numpy usage;helper function extraction;guard clause;input validation;boundary case handling;type conversion;in-place mutation;tuple unpacking;temporary variable,0.22,import reorganization; guard clause; input validation; boundary case handling; standard library helper; type conversion; temporary variable; mathematical formula; helper function extraction,0.15,variable renaming;guard clause;conditional expression;input validation;boundary case handling;type conversion,0.15,variable renaming; helper function extraction; guard clause; exception handling; conditional expression; type conversion; input validation; boundary case handling,0.1
RWPB/93,original,helper function extraction; temporary variable; literal rewrite,0.36,helper function extraction; literal rewrite; temporary variable; mathematical formula,0.27,literal rewrite; temporary variable; nested function; guard clause; boundary case handling,0.16,literal rewrite;helper function extraction;temporary variable;tuple unpacking;builtin function;mathematical formula;local constant introduction,0.11,literal rewrite;helper function extraction;temporary variable;mathematical formula,0.1
RWPB/60,original,variable renaming; temporary variable; import reorganization; standard library helper; split condition; branch reordering; type conversion; boundary case handling; behavior change; helper function extraction,0.3,variable renaming; helper function extraction; branch reordering; temporary variable; standard library helper; type conversion; boundary case handling,0.25,import reorganization;helper function extraction;loop rewrite;for loop;index-based loop;accumulator list;temporary variable;brute force;type conversion;behavior change,0.2,variable renaming; import reorganization; helper function extraction; standard library helper; temporary variable; input validation; branch reordering; type conversion; behavior change,0.15,import reorganization; nested function; variable renaming; guard clause; split condition; temporary variable; tuple unpacking; branch reordering; type conversion; behavior change,0.1
RWPB/31,original,variable renaming; import reorganization; guard clause; flattened conditional; loop rewrite; temporary variable; vectorized tensor ops; linear interpolation resampling; type check; empty input handling; type conversion; exception handling,0.28,import reorganization; guard clause; exception handling; loop rewrite; interpolation resampling; standard library helper; input validation; empty input handling; type conversion; tuple unpacking; temporary variable,0.22,accumulator list; nested function; import reorganization; input validation; empty input handling; type conversion; variable renaming; flattened conditional; guard clause; temporary variable; linear interpolation resampling,0.18,variable renaming; import reorganization; loop rewrite; flattened conditional; temporary variable; vectorized tensor ops; linear interpolation resampling; input validation; empty input handling; type conversion,0.18,import reorganization;guard clause;input validation;type check;empty input handling;loop rewrite;accumulator list;temporary variable;standard library helper,0.14
RWPB/21,original,import reorganization;guard clause;early return;flattened conditional;regex usage;empty input handling;type check;helper function extraction,0.35,variable renaming; import reorganization; helper function extraction; guard clause; regex usage; standard library helper,0.25,guard clause; early return; split condition; loop rewrite; for loop; slicing; temporary variable; brute force; regex usage; type check; empty input handling; input validation,0.15,guard clause;split condition;helper function extraction;temporary variable;generator expression;any/all usage;type check;empty input handling;regex usage,0.15,guard clause; early return; flattened conditional; loop rewrite; for loop; slicing; temporary variable; input validation; empty input handling; type check; regex usage,0.1
RWPB/70,original,import reorganization; helper function extraction; guard clause; combined condition; temporary variable; type conversion; boundary case handling; literal rewrite; standard library helper,0.35,import reorganization;standard library helper;guard clause;try-except wrapper;helper function extraction;list comprehension;temporary variable;type check;type conversion;behavior change,0.25,helper function extraction;try-except wrapper;list comprehension;builtin function;mathematical formula;type conversion;error suppression,0.2,helper function extraction;standard library helper;list comprehension;try-except wrapper;guard clause;type check;type conversion;mathematical formula;behavior change;import reorganization;temporary variable,0.12,import reorganization; helper function extraction; numpy vectorize usage; standard library helper; guard clause; type check; type conversion; input validation; boundary case handling; temporary variable,0.08
RWPB/83,original,variable renaming; temporary variable; tuple unpacking; dictionary lookup; helper function extraction; import reorganization; early return; guard clause; flattened conditional; split condition; type check; input validation; boundary case handling; error suppression; behavior change; mathematical formula,0.3,input validation;guard clause;early return;helper function extraction;list comprehension;tuple unpacking;variable renaming;import reorganization;type check;type conversion;empty input handling;behavior change;temporary variable,0.2,variable renaming; import reorganization; helper function extraction; loop rewrite; while loop; for loop; accumulator list; temporary variable; guard clause; early return; type check; membership test; in-place mutation; progressive scaling,0.15,variable renaming; import reorganization; helper function extraction; list comprehension; for loop; early return; input validation; empty input handling; type check; behavior change,0.2,guard clause; early return; helper function extraction; try-except wrapper; combined condition; list comprehension; generator expression; tuple unpacking; in-place mutation; import reorganization; input validation; empty input handling; boundary case handling; type check; type conversion; error suppression; behavior change,0.15
RWPB/44,original,input validation; boundary case handling; guard clause; nested conditional; temporary variable; in-place mutation; slicing; import reorganization,0.3,helper function extraction;guard clause;input validation;boundary case handling;temporary variable;import reorganization,0.25,loop rewrite;for loop;accumulator list;temporary variable;brute force;input validation;boundary case handling;guard clause;import reorganization;helper function extraction,0.2,import reorganization; helper function extraction; guard clause; exception handling; temporary variable; input validation; boundary case handling,0.15,import reorganization; helper function extraction; guard clause; input validation; empty input handling; preallocated output; in-place mutation; temporary variable; standard library helper; scatter-based placement,0.1
RWPB/15,original,import reorganization;helper function extraction;split condition;early return;guard clause;temporary variable;type conversion;input validation;boundary case handling;error suppression;behavior change,0.32,import reorganization; type conversion; input validation; boundary case handling; helper function extraction; nested conditional; index-based loop; accumulator list; temporary variable; early return; brute force; behavior change,0.18,import reorganization; helper function extraction; nested conditional; guard clause; temporary variable; numpy einsum usage; mathematical formula; input validation; boundary case handling; type conversion; error suppression; behavior change,0.2,import reorganization; nested conditional; early return; exception handling; input validation; boundary case handling; type conversion; temporary variable; vectorized computation; numpy usage; behavior change,0.15,import reorganization; type conversion; split condition; for loop; accumulator list; zip usage; temporary variable; standard library helper; input validation; boundary case handling; exception handling; behavior change; early return; mathematical formula,0.15
