task_id,base_code_label,variant_1_label,variant_1_probability,variant_2_label,variant_2_probability,variant_3_label,variant_3_probability,variant_4_label,variant_4_probability,variant_5_label,variant_5_probability
66,original,regex usage; loop rewrite; helper function extraction; state variable; flattened conditional; try-except wrapper; boundary case handling; error suppression; accumulator list,0.3,variable renaming; helper function inlining; combined condition; loop rewrite; exception handling; membership test; accumulator list; input validation; boundary case handling,0.25,loop rewrite; guard clause; flattened conditional; standard library helper; slicing; exception handling; boundary case handling; behavior change,0.2,loop rewrite;join/split usage;flattened conditional;guard clause;accumulator list;temporary variable;try-except wrapper;boundary case handling;error suppression,0.15,regex usage;import reorganization;loop rewrite;for loop;slicing;accumulator list;temporary variable;exception handling;boundary case handling;flattened conditional,0.1
67,original,helper function extraction;guard clause;input validation;copy before mutation;list comprehension;dictionary lookup;standard library helper;accumulator list;in-place mutation;type conversion;default value handling,0.34,variable renaming;accumulator dict;dictionary lookup;guard clause;input validation;empty input handling;default value handling;type conversion;standard library helper;f-string;membership test;copy before mutation;in-place mutation,0.22,variable renaming; import reorganization; guard clause; early return; helper function extraction; dictionary lookup; accumulator dict; tuple unpacking; standard library helper; frequency counting; input validation; default value handling,0.18,variable renaming; helper function extraction; dictionary lookup; accumulator list; in-place mutation; temporary variable; guard clause; early return; input validation; type conversion; default value handling,0.15,accumulator dict; helper function extraction; enumerate loop; list comprehension; copy before mutation; guard clause; input validation; type conversion; dictionary lookup; default value handling; membership test; temporary variable,0.11
68,original,helper function extraction; guard clause; input validation; type conversion; list conversion; variable renaming; temporary variable; import reorganization; standard library helper; empty input handling; default value handling,0.3,import reorganization;helper function extraction;input validation;list conversion;standard library helper;variable renaming;temporary variable;type conversion;behavior change;empty input handling;for loop,0.25,class renaming; variable renaming; list conversion; itertools usage; import reorganization; state variable; input validation; exception handling; temporary variable,0.2,helper function extraction; class to factory; variable renaming; list conversion; input validation; boundary case handling; temporary variable; type conversion; type annotations,0.15,class renaming; variable renaming; import reorganization; standard library helper; list conversion; temporary variable; type conversion; input validation; guard clause; behavior change,0.1
69,original,import reorganization; list comprehension; loop rewrite; for loop; standard library helper; join/split usage; accumulator list; default value handling; behavior change,0.28,class to function refactor; state variable; variable renaming; loop rewrite; accumulator list; accumulator string; join/split usage; guard clause; empty input handling,0.24,class renaming; method renaming; variable renaming; type annotations; loop rewrite; index-based loop; for loop; generator function; accumulator list; zip usage; boundary case handling; default value handling; string formatting change; behavior change; temporary variable,0.22,class renaming; variable renaming; loop rewrite; for loop; accumulator dict; accumulator string; list conversion; state variable; temporary variable; standard library helper; join/split usage; default value handling; empty input handling; behavior change,0.16,class renaming; parameter renaming; variable renaming; import reorganization; guard clause; loop rewrite; for loop; accumulator list; list conversion; temporary variable; standard library helper; builtin function; library delegation; input validation; default value handling; behavior change,0.1
70,original,standard library helper; import reorganization; regex usage; literal rewrite; input validation,0.28,variable renaming;helper function inlining;combined condition;membership test;state variable;import reorganization,0.22,regex usage; set conversion; membership test; string formatting change; helper function extraction; input validation; boundary case handling; type hint addition,0.2,guard clause;reversed condition;dictionary lookup;helper function extraction;input validation;empty input handling;temporary variable;standard library helper;default value handling;constant renaming,0.18,helper function extraction; descriptor usage; state variable; import reorganization,0.12
71,original,list comprehension; set conversion; accumulator set; helper function extraction; guard clause; dictionary lookup; membership test; boundary case handling; state variable,0.32,variable renaming;parameter renaming;method renaming;helper function extraction;guard clause;set conversion;tuple unpacking;list comprehension;generator expression;all/any usage;membership test;in-place mutation;boundary case handling,0.2,parameter renaming; variable renaming; helper function extraction; guard clause; early return; flattened conditional; list comprehension; set conversion; tuple unpacking; temporary variable; dictionary lookup; membership test; input validation; boundary case handling; empty input handling; behavior change,0.18,parameter renaming; variable renaming; method renaming; helper function extraction; early return; guard clause; flattened conditional; set conversion; tuple unpacking; list comprehension; dictionary lookup; any/all usage; generator expression; membership test; empty input handling; state variable,0.18,variable renaming; parameter renaming; method renaming; list conversion; set conversion; dictionary lookup; tuple unpacking; helper function extraction; in-place mutation; early return; flattened conditional; generator expression; any/all usage; membership test; boundary case handling,0.12
72,original,helper function extraction;type check;state variable;temporary variable;standard library helper;conditional expression;literal rewrite;behavior change;boundary case handling,0.3,static methods;flattened conditional;temporary variable;literal rewrite;builtin function;boundary case handling,0.25,helper function extraction;standard library helper;import reorganization;flattened conditional;temporary variable;literal rewrite;behavior change,0.2,literal rewrite;flattened conditional;temporary variable;standard library helper;membership test;default value handling;behavior change;boundary case handling,0.15,flattened conditional;temporary variable;helper function inlining;literal rewrite;regex usage;boundary case handling,0.1
73,original,parameter renaming; temporary variable; state variable; literal rewrite; standard library helper; import reorganization; default value handling; boundary case handling,0.28,temporary variable;builtin function;early return;boundary case handling;behavior change,0.22,parameter renaming;helper function extraction;guard clause;recursion with base case;loop rewrite;temporary variable;input validation,0.2,parameter renaming; variable renaming; constant extraction; loop rewrite; combined condition; temporary variable; boundary case handling,0.18,parameter renaming; variable renaming; temporary variable; loop rewrite; conditional expression; behavior change,0.12
74,original,variable renaming; set conversion; guard clause; helper function extraction; copy before mutation; import reorganization; flattened conditional,0.32,try-except wrapper; early return; split condition; standard library helper; copy before mutation,0.26,helper function extraction; guard clause; flattened conditional; standard library helper; temporary variable; copy before mutation; import reorganization,0.18,any/all usage; generator expression; enumerate loop; index-based loop; split condition; flattened conditional; in-place mutation; copy before mutation,0.14,guard clause; flattened conditional; combined condition; list comprehension; in-place mutation; copy before mutation; behavior change,0.1
75,original,guard clause;in-place mutation;dict comprehension;generator expression;input validation;type conversion;copy before mutation,0.3,variable renaming;guard clause;standard library helper;generator expression;temporary variable;in-place mutation;membership test;input validation;type conversion;behavior change,0.2,import reorganization; standard library helper; guard clause; input validation; type conversion; temporary variable; in-place mutation; accumulator dict; generator expression; copy before mutation,0.2,variable renaming;import reorganization;standard library helper;guard clause;accumulator dict;in-place mutation;frequency counting;type conversion;boundary case handling,0.18,variable renaming; standard library helper; dict comprehension; generator expression; guard clause; temporary variable; input validation; type conversion; boundary case handling; accumulator dict,0.12
76,original,guard clause;dictionary lookup;default value handling;list comprehension;any/all usage,0.28,variable renaming; import reorganization; guard clause; flattened conditional; conditional expression; set conversion; list comprehension; membership test; empty input handling,0.22,import reorganization; guard clause; flattened conditional; list comprehension; dictionary lookup; standard library helper; type annotations,0.18,variable renaming;import reorganization;guard clause;flattened conditional;list comprehension;generator expression;accumulator list;accumulator set;standard library helper;behavior change,0.2,variable renaming; literal rewrite; state variable; flattened conditional; guard clause; for loop; accumulator list,0.12
77,original,standard library helper; import reorganization; early return; guard clause; flattened conditional; loop rewrite; membership test; temporary variable; boundary case handling; type conversion,0.3,import reorganization; standard library helper; helper function extraction; variable renaming; list conversion; tuple unpacking; in-place mutation; guard clause; early return; loop rewrite; membership test; input validation; boundary case handling,0.25,variable renaming;tuple unpacking;temporary variable;slicing;early return;standard library helper;input validation;behavior change,0.2,variable renaming; import reorganization; early return; set conversion; list comprehension; membership test; temporary variable; input validation; boundary case handling; type conversion,0.15,helper function extraction; early return; state variable; tuple unpacking; set conversion; list comprehension; import reorganization; temporary variable,0.1
